"Kernel","Acorn ADFS","Amiga FFS","BeFS","BFS","cramfs","EFS","ext2","ext3","ext4","FAT","FreeVxFS","HFS","HFS+","HPFS","ISO 9660","JFFS","JFFS2","JFS","MINIX fs","NSS","NTFS","OCFS","QNX4 FS","System V FS","UDF","UFS","XFS","ZFS","ReiserFS","Reiser4","Btrfs","HAMMER","Tux3","exFAT"
"DragonFly BSD kernel","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","limited write","No","No","No","read only","Yes","No","No","No","No","No","Yes","No","No"
"FreeBSD kernel","No","No","No","No","No","No","Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No","No","limited write","No","No","No","Yes","Yes","read only","Yes","read only","No","No","No","No","?"
"Linux kernel","Yes","Yes","read only","Yes","Yes","read only","Yes","Yes","Yes","Yes","read only","Yes","limited write (only with empty journal)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","limited write","Yes","Yes","write support?","Yes","Yes","Yes","both FUSE and native","Yes","Yes","Yes","No","Yes","(experimental patch is available)"
"MINIX 3 kernel","No","No","No","No","No","No","Yes","No","No","Tools available, cannot mount","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"NetWare kernel","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","?"
"ReactOS kernel","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No"
"Solaris kernel","?","?","?","?","?","?","Yes","?","?","Yes","?","?","?","?","Yes","?","?","?","?","No","No","?","?","?","Yes","Yes","?","Yes","No","No","No","No","No","?"
"Windows NT kernel","?","?","?","?","?","?","Yes","Yes","?","Yes","?","Yes","Yes","No","Yes","?","?","?","?","No","Yes","?","?","?","Yes","?","?","No","No","No","No","No","No","Yes"
"XNU","No","No","No","No","No","No","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","limited write","No","No","No","Yes","Yes","No","read only","No","No","No","No","No","Yes"
