"Model","Type","Capacity","Speed","Range","Door-to-door
capable","Price"
"Distar UFM-13 Lambada","Motor glider","2","? km/h","","No","€61,000"
"Pipistrel Virus","Ultra-light","2","186 mph (299 km/h)","882 mi (1,419 km)","No","€69,000"
