"Product","Free","License"
"Apabi Reader","Yes",""
"Blio","Partial voices cost",""
"Bluefire Reader","Yes","Proprietary"
"DL Reader","Yes",""
"eBookMobi","No",""
"Ebook Reader","Yes",""
"i2Reader","No",""
"iBooks","Yes","Proprietary"
"Kindle","Yes",""
"Kobo Reading App","Yes",""
"Marvin","Partial themes cost",""
"MegaReader","No",""
"ShuBook","Partial",""
"Stanza","Yes","Proprietary"
"uBooks","Partial Adware",""
"iBouquiniste","No",""
