"","ZIP","TAR","gzip","bzip2","7z","xz","RAR","LHA/LZH","ACE","StuffIt","StuffIt X","ARJ","KGB","DAR","ARC","CAB","ALZ","ISO/CD Image","WAR"
"7-Zip","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes"
"ALZip","Yes","Yes","Yes","Yes","No","Unknown","No","No","No","No","No","No","No","No","No","Yes","Yes","Unknown","Unknown"
"Archive Utility","Yes","No","No","No","No","Unknown","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"Ark","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"B1 Free Archiver","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"BetterZip","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"Bitser","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"bsdtar/libarchive","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Unknown"
"Disk ARchiver","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Unknown"
"File Roller","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown"
"Filzip","Yes","Yes","Yes","No","No","Unknown","No","Yes","No","No","No","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"FreeArc","No","Unknown","Unknown","Unknown","No","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown"
"GNU tar","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"iArchiver","Yes","Yes","Yes","Yes","Yes","Unknown","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"Info-ZIP","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"IZArc","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Unknown"
"KGB Archiver","Yes","No","No","No","No","Unknown","No","No","No","No","No","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"PeaZip","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","Unknown"
"PKZIP","Yes","Yes","Yes","Yes","No","Unknown","No","No","No","No","No","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"PowerArchiver","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Unknown"
"Star","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"StuffIt","Yes","Yes","Yes","Yes","No","Unknown","No","Yes","No","Yes","Yes","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"TUGZip","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","No","No","No","No","No","No","No","Yes","No","Unknown","Unknown"
"WinAce","Yes","Yes","Yes","Yes","No","Unknown","No","Yes","Yes","No","No","No","No","Unknown","Unknown","Yes","Unknown","Yes","Unknown"
"WinRAR","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes"
"WinZip","Yes","No","No","No","No","Unknown","No","Yes","No","No","No","No","No","Unknown","Yes","No","No","No","Unknown"
"Xarchiver","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","No","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"ZipGenius","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","No","No","No","No","No","No","Unknown","Yes","No","No","Unknown"
"","ZIP","TAR","GZ","BZ/BZ2","7z","xz","RAR","LHA/LZH","ACE","SIT","SITX","ARJ","KGB","DAR","ARC","CAB","ALZ","ISO/CD Image","WAR"
