"Format","Trident","Gecko","WebKit","Presto"
"OpenType liga ligatures","No","2.0","Partial","No"
"OpenType rlig ligatures","No","2.0","",""
"ZWNJ and ZWJ (Unicode characters used for ligature control)","Yes","2.0","Yes","No"
