"Software","APA","Chicago/Turabian","Harvard","MLA","Other","Extension method"
"Aigaion","Yes","Yes","Yes","Yes","BMJ, IEEE","OSBIB"
"Bebop","No","No","No","No","none","none"
"BibBase","Yes","No","No","No","none","none"
"BibDesk","Yes","No","No","No","various","BibDesk export templates"
"Biblioscape","Yes","Yes","Yes","Yes","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|Yes","GUI style editor"
"BibSonomy","Yes","No","Yes","No","none","none"
"Bibus","Yes","No","No","No","user-contributed","bibus format (through GUI)"
"Bookends","Yes","Yes","Yes","Yes","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|Yes","?"
"Citavi","Yes","Yes","Yes","Yes","Any BibTeX style, plus 3500+ Citavi styles. Styles for journals are created upon request and centrally corrected","Citavi format, conditions and programmable components supported (through GUI)"
"CiteULike","Yes","Yes","Yes","Yes","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|Yes","none"
"colwiz","Yes","Yes","Yes","Yes","6750+ styles","CSL"
"Docear","Yes","Yes","Yes","Yes","any BibTeX style","BibTeX"
"EndNote","Yes","Yes","Yes","Yes","6506","EndNote format (through GUI)"
"JabRef","Yes","Yes","Yes","Yes","any BibTeX style","BibTeX"
"KBibTeX","Yes","Yes","Yes","Yes","any BibTeX style","BibTeX"
"Mendeley","Yes","Yes","Yes","Yes","6781 styles","CSL"
"Paperpile","Yes","Yes","Yes","Yes","6837+ styles","CSL"
"Papers","Yes","Yes","Yes","Yes","6390+ styles","CSL"
"Pybliographer","Yes","No","No","No","none","Pybliographer XML"
"Qiqqa","Yes","Yes","Yes","Yes","6390+ styles","BibTeX and CSL"
"ReadCube","Yes","Yes","Yes","Yes","6390+ styles","BibTeX and CSL"
"refbase","Yes","Yes","Yes","Yes","various polar & marine journals","PHP"
"RefDB","Yes","Yes","Yes","Yes","Various biomedical & law journals","XML (citestylex.dtd), interactive script"
"Reference Manager","Yes","Yes","Yes","Yes","various",":Template:GUI style editor"
"Referencer","?","?","?","?","?","?"
"RefWorks","Yes","Yes","Yes","Yes","various","RefWorks format through GUI"
"SciRef","Yes","Yes","Yes","Yes","various","SciRef format through GUI"
"Sente","Yes","Yes","Yes","Yes","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|Yes","Sente format through GUI"
"Wikindx","Yes","Yes","Yes","Yes","BMJ, IEEE, Editor supplied","OSBIB"
"WizFolio","Yes","Yes","Yes","Yes","various","WizFolio format (through GUI)"
"Zotero","Yes","Yes","Yes","Yes","6770+ styles","CSL"
