"Model","Launch","Code name","Fab (nm)","Bus interface","RAM (MB)","Clock rate","Clock rate","Stream processors","RAM","RAM","RAM","Peak GFLOPS","Peak GFLOPS","TDP Watt","Notes"
"Model","Launch","Code name","Fab (nm)","Bus interface","RAM (MB)","GPGPU (MHz)","RAM (MHz)","Stream processors","Type","Bus width (bit)","FP32","FP64","","TDP Watt","Notes"
"FireStream 9170","November 8, 2007","RV670","55","PCIe 2.0 x16","2048","800","800","320","51.2","GDDR3","256","512","102.4","105",""
"FireStream 9250","June 16, 2008","RV770","55","PCIe 2.0 x16","1024","625","993","800","63.552","GDDR3","256","1000","200","150",""
"FireStream 9270","November 13, 2008","RV770","55","PCIe 2.0 x16","2048","750","850","800","108.8","GDDR5","256","1200","240","160",""
"FireStream 9350","June 23, 2010","RV870","40","PCIe 2.1 x16","2048","700","1000","1440","128","GDDR5","256","2016","403.2","150",""
"FireStream 9370","June 23, 2010","RV870","40","PCIe 2.1 x16","4096","825","1150","1600","147.2","GDDR5","256","2640","528","225",""
