"Methods and properties","Java","C#"
"Static imports","Yes","Yes"
"Virtual methods","Virtual by default","Non-virtual by default"
"Abstract","Yes","Yes"
"Sealing","Yes","Yes"
"Explicit interface implementation","Default methods in Java 8","Yes"
"Value (input) parameters","Yes","Yes"
"Reference (input/output) parameters","No","Yes"
"Output (output) parameters","No","Yes"
"Constant (immutable) parameters","Yes;final parameters","No"
"Variadic methods","Yes","Yes"
"Optional arguments","No","Yes"
"Named arguments","No","Yes"
"Generator methods","No","Yes"
"Extension / default methods","Yes","Yes"
"Conditional methods","No","Yes"
"Partial methods","No","Yes"
