"Spanish","Portuguese","English"
"lunes (< Lat. diēs lūnae 'Moon's day')","segunda-feira  ('second feria')","Monday"
"martes (< Lat. diēs martis 'Mars' day')","terça-feira ('third feria')","Tuesday"
"miércoles (< Lat. diēs mercvrii 'Mercury's day')","quarta-feira ('fourth feria')","Wednesday"
"jueves (< Lat. diēs iovis 'Jupiter's day')","quinta-feira ('fifth feria')","Thursday"
"viernes (< Lat. diēs veneris, 'Venus' day')","sexta-feira ('sixth feria')","Friday"
"sábado (< Lat. sabbatvm 'Sabbath')","sábado (< Lat. sabbatvm 'Sabbath')","Saturday"
"domingo (< Lat. diēs dominica 'Lord's day')","domingo (< Lat. diēs dominica 'Lord's day')","Sunday"
