"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Clock rate","Clock rate","Config core","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power
GFLOPs","Processing Power
GFLOPs","API compliance (version)","API compliance (version)","API compliance (version)","TDP watts","Notes"
"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core (MHz)","Memory (MHz)","Config core","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single Precision","Double Precision","DirectX","OpenGL","OpenCL","","TDP watts","Notes"
"FirePro RG220","May 2010","RV711","55","PCIe 2.0 x16","512","500","800","80(16×5):8:4","2.0","4.0","12.8","GDDR3 for GPU,
RDRAM for PCoIP","64","80","No","10.1","3.3","None","35","Dual Ethernet ports plus DMS-59 for dual DVI-D output (no VGA host output)"
"FirePro R5000","February 25, 2013","Pitcairn LE","28","PCIe 3.0 x16","2048","825","800","768:48:32","26.4","39.6","102.4","GDDR5","256","1267.2","79.2","11.1","4.2","1.2","<150","Ethernet port plus Two Mini DisplayPort w/ Tera2 PCoIP"
