"File manager","Filesystem support","Attribute columns","File previews","Metadata indexing","Unicode support","Visual Themes"
"Altap Salamander","Yes","Yes","Yes","?","Partial","No"
"Directory Opus","Yes","Yes","Yes","Partial","Yes","Yes"
"Dired","Yes","Yes","Yes","No","Yes","Yes"
"Disk Order","Yes","?","?","?","","?"
"Dolphin","Yes","Yes","Yes","Yes","Yes","?"
"Double Commander","Yes","Yes","Yes","No","Yes","Partial"
"emelFM2","?","?","?","?","","?"
"Far Manager","Yes","Yes","Yes","Partial","Yes","No"
"Finder","Yes","No","Yes","Yes","Yes","Partial"
"Konqueror","Yes","Yes","Yes","Yes","Yes","Yes"
"Krusader","Yes","Yes","Yes","Partial","","?"
"Midnight Commander","Yes","No","No","No","Yes","No"
"Nautilus","Yes","?","Yes","?","Yes","?"
"Path Finder","?","?","?","?","","?"
"PCManFM","Yes","Yes","Yes","No","Yes","No"
"ROX-Filer","","No","Yes","No","","?"
"Total Commander","Yes","Yes","Yes","Yes In search tool","Yes","Partial"
"Windows Explorer","Yes","Yes","Yes","Yes","Yes","Partial"
"Xandros File Manager","?","?","?","?","?","?"
"Xfe","No","No","No","No","No","No"
"Xfile","?","?","?","?","?","?"
"Xfm","?","?","?","?","?","?"
"xplorer²","Yes","Yes","Yes","?","Yes","Yes"
"XYplorer","Yes","Yes","Yes","?","Yes","Yes"
"ZTreeWin","Yes","Yes","Yes","?","Yes","No"
"","","","","","",""
