"","Trident","Gecko","WebKit","Presto"
"The canvas state","The canvas state","The canvas state","The canvas state","The canvas state"
"save","5.0","1.8","Yes","2.0"
"restore","5.0","1.8","","2.0"
"Transformations","Transformations","Transformations","Transformations","Transformations"
"scale","5.0","1.8","Yes","2.0"
"rotate","5.0","1.8","","2.0"
"translate","5.0","1.8","","2.0"
"transform","5.0","1.8","2.6",""
"setTransform","5.0","1.8","2.6",""
"Compositing","Compositing","Compositing","Compositing","Compositing"
"globalAlpha","5.0","1.8","Yes","2.0"
"globalCompositeOperation","5.0","1.8","","2.0"
"Colors and styles","Colors and styles","Colors and styles","Colors and styles","Colors and styles"
"strokeStyle","5.0","1.8","Yes","2.0"
"fillStyle","5.0","1.8","","2.0"
"createLinearGradient","5.0","1.8","","2.0"
"createRadialGradient","5.0","1.8","","2.0"
"createPattern","5.0","1.8","","2.0"
"Line styles","Line styles","Line styles","Line styles","Line styles"
"lineWidth","5.0","1.8","Yes","2.0"
"lineCap","5.0","1.8","","2.0"
"lineJoin","5.0","1.8","","2.0"
"miterLimit","5.0","1.8","","2.0"
"Shadows","Shadows","Shadows","Shadows","Shadows"
"shadowOffsetX","5.0","1.9.1","Yes","2.4"
"shadowOffsetY","5.0","1.9.1","","2.4"
"shadowBlur","5.0","1.9.1","","2.4"
"shadowColor","5.0","1.9.1","","2.4"
"Simple shapes","Simple shapes","Simple shapes","Simple shapes","Simple shapes"
"clearRect","5.0","1.8","Yes","2.0"
"fillRect","5.0","1.8","","2.0"
"strokeRect","5.0","1.8","","2.0"
"Complex shapes","Complex shapes","Complex shapes","Complex shapes","Complex shapes"
"beginPath","5.0","1.8","Yes","2.0"
"closePath","5.0","1.8","","2.0"
"moveTo","5.0","1.8","","2.0"
"lineTo","5.0","1.8","","2.0"
"quadraticCurveTo","5.0","1.8.1","","2.0"
"bezierCurveTo","5.0","1.8","","2.0"
"arcTo","5.0","1.8.1","","2.0"
"rect","5.0","1.8","","2.0"
"arc","5.0","1.8","","2.0"
"fill","5.0","1.8","","2.0"
"stroke","5.0","1.8","","2.0"
"clip","5.0","1.8","","2.0"
"isPointInPath","5.0","1.8","","2.0"
"Focus management","Focus management","Focus management","Focus management","Focus management"
"drawFocusRing","No","28.0","No","No"
"Text","Text","Text","Text","Text"
"font","5.0","1.9.1","Yes","No"
"textAlign","5.0","1.9.1","2.6",""
"textBaseline","5.0","1.9.1","2.6",""
"fillText","5.0","1.9.1","2.6",""
"strokeText","5.0","1.9.1","2.6",""
"measureText","5.0","1.9.1","2.6",""
"Images","Images","Images","Images","Images"
"drawImage","5.0","1.8","Yes","2.0"
"createImageData","5.0","1.9.1","2.7",""
"getImageData","5.0","1.9","2.6",""
"putImageData","5.0","2.0","2.6",""
