"Name","Frequency","Focus","Notes"
"Patreon","Every time new content is released","Musicians, Podcasts, Vloggers, Youtubers, Webcomics","Subscribing to a project allows to view and post on its content stream. Patreon allows to set a monthly maximum to avoid going over a set budget."
"Subbable","Monthly or one-time donations","Web series (both entertainment- and education-oriented)","The money that users spend goes into a ""perk bank"" and can be redeemed for creator-determined perks. Free subscriptions are available."
