"Client name","Platform","License","CalDAV Events","CalDAV Tasks","CardDAV"
"BusyCal","Mac OS X","Proprietary","Yes","Yes","N/A"
"AgenDAV","Cross-platform JavaScript Web application","GPL","Yes","N/A","N/A"
"cadaver","Command-line","GPL","Yes","?","?"
"CalendarSync","Android App","?","Yes","N/A","N/A"
"CalDAV Tasksync free","Android App","?","N/A","Yes","N/A"
"aCal","Android App","GPL","Yes","Yes","N/A"
"AndroidCaldavSyncAdapater","Android App","GPL","Yes","N/A","N/A"
"ContactSync","Android App","?","N/A","N/A","Yes"
"Contacts CardDAV Sync 2 Cloud","Android App","Proprietary","No","No","Yes"
"CalDAV-Sync","Android App","Proprietary","Yes","Yes","N/A"
"CardDAV-Sync","Android App","?","N/A","N/A","Yes"
"CalDavZAP","Cross-platform JavaScript Web application","AGPL","Yes","Yes","N/A"
"CardDavMATE","Cross-platform JavaScript Web application","AGPL","N/A","N/A","Yes"
"InfCloud (CalDavZAP+CardDavMATE)","Cross-platform JavaScript Web application","AGPL","Yes","Yes","Yes"
"Chandler Desktop","Cross-platform Python","Apache","Yes","Yes","No"
"cFos Outlook DAV","MS Outlook add-in, Microsoft Windows","Proprietary","Yes","Yes","Yes"
"Daylite","Mac OS X","Proprietary","Yes","No","No"
"DAVdroid","Android App","GPL","Yes","?","Yes"
"eM Client","Microsoft Windows","Proprietary","Yes","Yes","Yes"
"Fantastical","Mac OS X","Proprietary","Yes","?","No"
"iCal Import/Export CalDAV","Android App","Proprietary","Yes","N/A","N/A"
"jqCalDAV","Cross-platform JavaScript Web application","MIT","Yes","Yes","N/A"
"KCardDAV (discontinued)","Cross-platform Kontact add-on","GPL","N/A","N/A","Yes"
"Lightning","Cross-platform Thunderbird Add-on","MPL/GPL/LGPL","Yes","Yes","N/A"
"Mulberry","Cross-platform","Apache","Yes","Yes","Yes"
"pyCardDAV","Cross-platform Python","MIT","N/A","N/A","Yes"
"Inverse SOGo Connector/Integrator","Cross-platform Thunderbird Add-on","MPL/GPL/LGPL","Yes","Yes","Yes"
"Evolution","Cross-platform","GPL","Yes","Yes","Cards via WebDAV"
"Calendars/Reminders/Contacts/Mail","iOS and Mac OS X","Proprietary","Yes","Yes","Yes"
"SurGATE Outlook Sync Client","Microsoft Windows","Proprietary","Yes","Yes","Yes"
"OpenProtocols Connector for Outlook","Microsoft Windows","Proprietary","Yes","Yes","Yes"
