"Name","Release date","RTM build","Current version","Status support","License","Codename, working name","Based on (kernel)","Supported architectures","Editions","OS type"
"Windows NT 3.1","1993-07-27","528","3.10.528 SP3
(1994-11-10)","Unsupported
(2001-12-31)","Closed source","New Technology OS/2","NT 3.1","IA-32, DEC Alpha, MIPS","Workstation,
Advanced Server","Workstation,
Server"
"Windows NT 3.5","1994-09-21","807","3.50.807 SP3
(1995-06-21)","Unsupported
(2001-12-31)","Closed source","Daytona","NT 3.5","IA-32, DEC Alpha, MIPS","Workstation,
Server","Workstation,
Server"
"Windows NT 3.51","1995-05-30","1057","3.51.1057 SP5
(1996-09-19)","Unsupported
(2001-12-31)","Closed source","?","NT 3.51","IA-32, DEC Alpha, MIPS, PowerPC","Workstation,
Server","Workstation,
Server"
"Windows NT 4.0","1996-08-24","1381","4.00.1381 SP6a
(1999-11-30)","Unsupported
(2004-12-31)","Closed source","Cairo
Hydra (Terminal Server)","NT 4.0","IA-32, DEC Alpha, MIPS, PowerPC","Workstation,
Server,
Server Enterprise Edition,
Terminal Server,
Embedded","Workstation,
Server,
Embedded PCs"
"Windows 2000","2000-02-17","2195","5.0 SP4 Rollup 1 v2
(2005-09-13)","Unsupported
(2010-07-13)","Shared source","Memphis NT","NT 5.0","IA-32, IA-64","Professional,
Server,
Advanced Server,
Datacenter Server,
Powered (Embedded)","Desktop,
Workstation,
Server,
Embedded PCs"
"Windows XP","2001-10-25","2600","5.1.2600 SP3
(2008-04-21)","Unsupported
(2014-04-08)","Shared source","Whistler","NT 5.1; NT 5.2
(64-bit 2003 and x64)","IA-32, IA-64, x86-64","Starter Edition,
Home,
Professional,
Media Center,
Tablet PC,
Starter,
Embedded,
Home N,
Home K,
Home KN,
Professional N,
Professional K,
Professional KN,
Professional x64","Desktop,
Workstation,
Embedded PCs"
"Windows Server 2003","2003-04-24","3790","5.2.3790 SP2
(2007-03-13)","Supported (Until 2015-07-15)","Shared source","Whistler Server, Windows .NET Server","NT 5.2","IA-32, IA-64, x86-64","Standard,
Enterprise,
Datacenter,
Web,
Storage,
Small Business Server,
Compute Cluster","Server,
Network Appliance,
Embedded PCs,
HPC"
"Windows Fundamentals for Legacy PCs","2006-07-08","2600","RTM
(2006-07-08)","Unsupported
(2014-04-08)","Shared source","Eiger, Monch","NT 5.1","IA-32","Fundamentals for Legacy PCs","Desktop"
"Windows Vista","2006-11-08","6000 (SP2: 6002)","6.0 SP2
(2009-04-28)","Supported","Closed source,
Shared source","Longhorn","NT 6.0","IA-32, x86-64","Starter,
Home Basic,
Home Premium,
Business,
Enterprise,
Ultimate,
Home Basic K,
Home Basic N,
Home Basic KN,
Home Premium K,
Home Premium KN,
Business K,
Business N,
Business KN,
Enterprise K,
Enterprise KN,
Ultimate K,
Ultimate KN","Desktop,
Workstation"
"Windows Server 2008","2008-02-27","6001 (SP2: 6002)","6.0 SP2
(2008-02-27)","Supported","Closed source,
Shared source","Longhorn Server","NT 6.0","IA-32, IA-64, x86-64","Web,
Standard,
Enterprise,
Small Business Server,
Datacenter,
Web Core,
Standard Core,
Enterprise Core,
Datacenter Core,
Standard without HyperV,
Enterprise without HyperV,
Datacenter without HyperV,
Standard Core without HyperV,
Enterprise Core without HyperV,
Datacenter Core without HyperV,
HPC,
HyperV Core,
Foundation,
Storage","Server"
"Windows Home Server","2007-06-16","3790","5.2","Unsupported (8 January 2013)","Closed source","Q, Quattro","NT 5.2","IA-32, x86-64","Home Server","Server"
"Windows 7","2009-10-22","7600 (SP1: 7601)","6.1","Supported","Closed source,
Shared source","""7"", Vienna","NT 6.1","IA-32, x86-64","Starter,
Home Basic,
Home Premium,
Professional,
Ultimate,
Enterprise,
Starter E,
Home Basic E,
Home Premium E,
Professional E,
Ultimate E,
Enterprise E,
Starter N,
Home Basic N,
Home Premium N,
Professional N,
Ultimate N,
Enterprise N,
Starter K,
Home Basic K,
Home Premium K,
Professional K,
Ultimate K,
Enterprise K,
Starter KN,
Home Basic KN,
Home Premium KN,
Professional KN,
Ultimate KN,
Enterprise KN","Desktop, Workstation, Multi-Touch"
"Windows Server 2008 R2","2009-10-22","7600 (SP1: 7601)","6.1","Supported","Closed source,
Shared source","""7"" Server","NT 6.1","IA-64, x86-64","Standard,
Enterprise,
Datacenter,
Web,
Standard Core,
Enterprise Core,
Datacenter Core,
Web Core","Server"
"Windows Home Server 2011","2011-04-05","8400","6.1","Supported","Closed source","Vail","NT 6.1","x86-64","Home Server","Server"
"Windows Server 2012","2012-9-4","9200","6.2","Supported","Closed source,
Shared source","""8"" Server","NT 6.2","x86-64","Foundation
Essentials
Standard
Datacenter","Server"
"Windows 8","2012-10-26","9200","6.2","Supported","Closed source,
Shared source","""8""","NT 6.2","IA-32, x86-64, ARM architecture (ARMv7)","Windows 8,
Professional,
Enterprise,
N,
Professional N,
Enterprise N,
Enterprise K,
Enterprise KN,
Windows RT","Desktop,
Workstation,
Multitouch"
"Windows 8.1","2013-10-18","9600","6.3","Supported","Closed source,
Shared source","""Blue""","NT 6.3","IA-32, x86-64, ARM architecture (ARMv7)","Windows 8.1,
Pro,
Enterprise,
Pro N,
Enterprise N,
Enterprise K,
Enterprise KN,
Windows RT 8.1","Desktop,
Workstation,
Multitouch"
"Windows Server 2012 R2","2013-10-18","9600","6.3","Supported","Closed source,
Shared source","""Blue"" Server","NT 6.3","x86-64","Foundation
Essentials
Standard
Datacenter","Server"
