"Names","Underlying theory
(symbolic, connectionist, or hybrid)","Achievements","Estimated requirements","Non-laboratory usages","Activity status
(active or dead + RSS news)","Year of creation","Related publications","License
(if applies, for example GPL)",""
"4CAPS","?","?","?","?","?","?","?","",""
"ACT-R","hybrid","?","?","?","active","?","Anderson, 2007","",""
"ASMO","hybrid","Many robotic systems","?","IBM internet-of-things system","active","2009","Novianto, Johnston and Williams 2010","",""
"CHREST","symbolic","?","?","?","active","?","?","",""
"CLARION","hybrid","?","?","?","active","?","Sun, 2002","",""
"Copycat","?","?","?","?","?","?","?","",""
"DUAL","hybrid","?","?","?","?","?","?","",""
"EPAM","?","?","?","?","?","?","?","",""
"EPIC","?","?","?","?","?","?","?","",""
"GLAIR","symbolic","?","?","?","active","?","Bona and Shapiro, 2009","?",""
"LIDA","symbolic","?","?","?","?","?","?","",""
"MAMID","?","?","?","?","?","?","Hudlicka, 2002; 2003","?",""
"Mibe architecture","?","?","?","?","?","?","?","",""
"Parallel terraced scan","?","?","?","?","?","?","?","",""
"Procedural Reasoning System","?","?","?","?","?","?","?","",""
"R-CAST","?","?","?","?","?","?","?","",""
"Soar","?","?","?","yes","active","1983","Laird (2012)","",""
"TinyCog","symbolic","?","?","?","active","2015","Bergmann and Fenton, 2015","GPL V3",""
