"Format","Languages"
"string & string","Ada, FreeBASIC, Seed7, BASIC, VB, VB .NET, COBOL (between literals only)"
"strcat(string, string)","C, C++ (char * only)"
"string . string","Perl, PHP"
"string + string","ALGOL 68, C++ (STL), C#, Cobra, FreeBASIC, Go, Pascal, Object Pascal (Delphi), Java, JavaScript, Windows PowerShell, Python, Ruby, Rust, F#, Swift, Turing, VB, Ya"
"string ~ string","D"
"(string-append string string)","Scheme, ISLISP"
"(concatenate 'string string string)","Common Lisp"
"(str string string)","Clojure"
"string  string","REXX, SQL, PL/I"
"string // string","Fortran"
"string ++ string","Erlang, Haskell"
"string ^ string","OCaml, Standard ML, F#"
"[string stringByAppendingString:string]","Objective-C (NSString * only)"
"string .. string","Lua"
"string, string","Smalltalk"
"string string","SNOBOL"
"stringstring","Bash shell"
"string <> string","Mathematica"
