"","","Trident","Tasman","Gecko","WebKit","KPart","Presto","Prince XML"
"Operation mode","Progressive","3.1","Yes","1.0","85","Yes","1.0","3.0"
"Operation mode","Baseline","3.1","","1.0","85","","1.0","3.0"
"Operation mode","Hierarchical","3.1","?","1.0","85","","1.0",""
"Operation mode","Lossless","3.1","No","1.0","85","","1.0",""
