"Name","Mac OS X","Windows","Cygwin","BSD","Linux","Solaris","Windows Mobile","Android","iPhone, iPod Touch"
"Dante","N/A","No","N/A","Yes","Yes","Yes","No","No","No"
"FreeCap","No","Yes","No","No","No","No","No","No","No"
"Proxifier","Yes","Yes","No","No","No","No","No","No","No"
"ProxyCap","Yes","Yes","No","No","No","No","Yes","No","No"
"proxychains","N/A","No","N/A","N/A","Yes","N/A","No","No","No"
"redsocks","N/A","No","N/A","N/A","Yes","N/A","No","Yes","No"
"SocksCap","No","Yes","No","No","No","No","No","No","No"
"Super Socks5cap","No","Yes","No","No","Yes","No","No","No","No"
"torsocks","Yes","No","N/A","N/A","Yes","N/A","No","No","No"
"tun2socks","No","Yes","No","No","Yes","No","No","Yes","No"
"WideCap","No","Yes","No","No","No","No","No","No","No"
