"Manufacturer","Model","Intro Date","Interface","OS","Price","Throughput","Throughput/$"
"Araneus","Alea I","2003","USB","Windows/Linux/BSD","159€","100 kbit/s","524 bit/s /$"
"Araneus","Alea II","2014","USB","Windows/Linux/BSD/MacOS X","119€","100 kbit/s","700 bit/s /$"
"TectroLabs","TL200","2014","USB","Windows/Linux/Mac","$199","2.0 Mbit/s","10050 bit/s /$"
"Quant-Lab","QRBG121","2005","USB","Windows/Linux","2700€","12 Mbit/s","3703 bit/s /$"
"ID Quantique SA","Quantis-USB","2006","USB","Windows/Linux","990€","4 Mbit/s","3367 bit/s /$"
"ID Quantique SA","Quantis-PCI-4","2006","PCI","Windows/Linux","2.230€","16 Mbit/s","5979 bit/s /$"
"QuintessenceLabs","qStream, qCrypt-xStream","2012","Network, PCIe","Linux/Windows","N/A","1000 Mbit/s","? bit/s /$"
"Comscire","PQ4000KU","2013","USB","Linux/Windows/Mac","$895","4 Mbit/s","4469 bit/s /$"
"Comscire","PQ32MU","2013","USB","Linux/Windows/Mac","$1.495","32 Mbit/s","21404 bit/s /$"
"LETech","GRANG (various devices)","2008–2012","PCI/USB3/SATA","Linux/Windows","N/A","400 Mbit/s","? bit/s /$"
"TRNG98","TRNG9803","2009","SERIAL","Linux/Windows/Solaris/BSD","109€","72 kbit/s","550 bit/s /$"
"TRNG98","TRNG9815","2009","USB","Linux/Windows/Solaris/BSD","620€","550 kbit/s","739 bit/s /$"
"Flying Stone Technology","FST-01 (includes NeuG 1.0)","2013","USB","GNU","$35","0.6 Mbit/s","17185 bit/s /$"
"ubld.it","TrueRNG","2014","USB 2.0","Linux/Windows/Mac/Pi","$49.95",">350 kbit/s","7000 bit/s /$"
"Moonbase Otago","OneRNG","2015","USB","Linux/Windows/Mac","$50 NZD","350 kbit/s","9859 bit/s /$"
"WaywardGeek","Infinite Noise TRNG","2014","USB","Linux/Windows/Pi","$35","300 kbit/s","8571 bit/s /$"
"Kidekin","TRNG","2015","USB","Linux/Windows/Mac","$79","2 Mbit/s","25316 bit/s /$"
