"Client","Offline support","Search","Annotations","News Filtering","Pluginable","Automatic Update","Publish Capabilities"
"Akregator","Yes","?","?","?","?","?","?"
"Amarok","?","?","?","?","?","?","?"
"AOL Explorer","?","?","?","?","?","?","?"
"Avant","?","?","?","?","?","?","?"
"BlogBridge","?","?","?","?","?","?","?"
"Canto","?","?","?","?","?","?","?"
"Claws Mail","?","?","?","?","?","?","?"
"CommaFeed","?","Yes","?","?","?","Yes","?"
"Cooliris","?","?","?","?","?","?","?"
"Feed Viewer","Yes","Yes","?","No","No","Yes","Sharing"
"FeedDemon","?","?","?","?","?","?","?"
"Feedreader","Yes","Yes","?","?","?","Yes","?"
"Flock","?","?","?","?","?","?","?"
"Gnus","Yes","Yes","?","?","?","Yes","?"
"IBM Lotus Notes","?","?","?","?","?","?","?"
"Internet Explorer","?","?","?","?","?","?","?"
"iTunes","?","?","?","?","?","?","?"
"Juice","?","?","?","?","?","?","?"
"K-Meleon","?","?","?","?","?","?","?"
"Kazehakase","?","?","?","?","?","?","?"
"Liferea","Yes","Yes","?","Yes","?","Yes","?"
"Mail (OS X)","?","?","?","?","?","?","?"
"Maxthon","?","?","?","?","?","?","?"
"MediaMonkey","?","?","?","?","?","?","?"
"Microsoft Office Outlook","?","?","?","?","?","?","?"
"Mozilla Firefox","?","?","?","?","?","?","?"
"Mozilla Thunderbird","?","Yes","?","?","?","?","?"
"NetNewsWire","Yes","Yes","?","?","?","?","?"
"Netscape Browser","?","?","?","?","?","?","?"
"Netscape Navigator 9","?","?","?","?","?","?","?"
"NewsAccess","?","?","?","?","?","?","?"
"NewsBlur","Yes","Yes","Yes","Yes","?","?","Yes"
"NewsFire","?","?","?","?","?","?","?"
"OmniWeb","?","?","?","?","?","?","?"
"Opera Mail","Yes","Yes","?","Yes","No","Yes","No"
"Pegasus Mail","?","?","?","?","?","?","?"
"Rhythmbox","?","?","?","?","?","?","?"
"RSS Bandit","?","?","?","?","?","?","?"
"RSSOwl","No","Yes","?","Yes","Yes","Yes","?"
"Safari","?","?","?","?","?","?","?"
"Sage","?","?","?","?","?","?","?"
"SeaMonkey Mail & Newsgroups","?","?","?","?","?","?","?"
"Shiira","?","?","?","?","?","?","?"
"Sleipnir","?","?","?","?","?","?","?"
"Songbird","?","?","?","?","?","?","?"
"The Bat!","?","?","?","?","?","?","?"
"The Old Reader","Via some mobile apps","Yes","?","?","?","Yes","Sharing"
"Tiny Tiny RSS","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Winamp","?","?","?","?","?","?","?"
"Windows Live Mail","?","?","?","?","?","?","?"
"Zimbra","?","?","?","?","?","?","?"
"Zune","?","?","?","?","?","?","?"
"","","","","","","",""
