"Test Suite","Performance Winner"
"Windows Launch Performance","Parallels Desktop for Mac"
"CPU","Parallels Desktop for Mac, except for 2 of the 14 tests"
"Footprint on Mac","Parallels Desktop for Mac"
"Application Launch","VMware Fusion"
"Application Performance","Both products did well, except for IE where Parallels Desktop is 80-91% faster"
"3D and HD Performance","Dependent on game, video and Windows environment."
