"Distribution","Creator","Producer","First public release","Base distribution","Latest release date","Purpose"
"BeleniX","?","?","?","OpenSolaris","0.7.1 / July 19, 2008","?"
"MilaX","?","?","?","OpenSolaris","0.5 / February 15, 2010","?"
"Nexenta OS","?","?","2005","OpenSolaris","3.1.3.5 (October 31, 2012; 2 years ago)","?"
"OpenIndiana","?","?","2010","OpenSolaris","build 151a7 / October 6, 2012","""to become the defacto OpenSolaris distribution installed on production servers where security and bug fixes are required free of charge"""
"SchilliX","?","?","June 17, 2005","OpenSolaris","0.8 / August 27, 2012","""to deliver a OpenSolaris based distribution that is compatible with the previous Sun Solaris SXCE versions, that is as POSIX compatible as possible and that tries to stay compatible with SVr4 interfaces."""
"","","","","","",""
