"Products","","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"P7","","3.1","Yes","1.0","Yes","Yes","1.0","Yes"
"P1","Images","Images","Images","Images","Images","Images","Images","Images"
"P2","Generic inclusion","Generic inclusion","Generic inclusion","Generic inclusion","Generic inclusion","Generic inclusion","Generic inclusion","Generic inclusion"
"P3","","4.0","Yes","1.0","Yes","Yes","1.0","Yes"
"P4","","3.1","","1.0","","","1.0",""
"P5","Image maps","Image maps","Image maps","Image maps","Image maps","Image maps","Image maps","Image maps"
"P6","","3.1","Yes","1.0","Yes","Yes","1.0","Yes"
"P8","","5.0","","1.0","","","1.0",""
