"Products","DDC  ","LCC  ","Description  "
"P1","000","","Computer science, knowledge and general works"
"P2","001","A","knowledge"
"P3","002","","The book"
"P4","003","","Systems"
"P5","004","QA(subrange)","Data processing & computer science"
"P6","005","QA(subrange)","Computer programming, programs & data"
"P7","006","QA(subrange)","Special computer methods"
"P8","010","Z1001-8999","Bibliography"
"P9","020","Z665-718.8","Library & information sciences"
"P10","030","AE","General encyclopedic works"
"P11","050","AI","General serials & their indexes"
"P12","060","AM111-160","General organization & museology"
"P13","070","AN","News media"
"P14","070","PN4699-5650","Journalism"
"P15","070","Z278-549","Publishing"
"P16","080","AC","General collections"
"P17","090","Z105-115.5","Manuscripts"
"P18","090","Z1019-1033","Rare books"
"P19","100","B","Psychology & Philosophy"
"P20","111","BD300-450","Ontology"
"P21","115","BD493-701","Time"
"P22","120","BD143-237","Epistemology"
"P23","120","BD?","Causation"
"P24","120","BD?","Humankind"
"P25","124","BD493-701","Teleology"
"P26","130","BF1404-2055","Paranormal phenomena / Occult sciences"
"P27","150","BF","Psychology"
"P28","152","HM1041-1101","Perception"
"P29","152","QH?","Movement"
"P30","152","BF511-593","Emotions"
"P31","155","BF712-724","Developmental psychology"
"P32","160","BC","Logic"
"P33","170","BJ","Ethics (moral philosophy)"
"P34","180","B108-708","Classic philosophy"
"P35","181","B850-5739","Oriental philosophy"
"P36","182","B108-708","Ancient philosophy"
"P37","183","B108-708","Sophists & Socratic philosophies"
"P38","185","B108-708","Aristotelian philosophy"
"P39","186","B108-708","Skeptic & Neoplatonic philosophies"
"P40","187","B108-708","Epicurean philosophy"
"P41","188","B108-708","Stoic philosophy"
"P42","189","B720-765","Medieval Western philosophy"
"P43","190","B790-5802","Modern Western philosophy"
"P44","200","BL","Religion"
"P45","210","BL175-265","Natural theology"
"P46","212","BL205-216","Nature of God"
"P47","220","BS","Bible"
"P48","221","BS701-1830","Old Testament"
"P49","225","BS1901-2970","New Testament"
"P50","226","BS2547-2970?","Gospels & Acts of the Apostles"
"P51","227","BS2640-2765.6","Epistles"
"P52","228","BS2547-2970?","Revelation"
"P53","229","BS2547-2970?","Apocrypha"
"P54","230","BR","Christian theology"
"P55","232","BT198-590","Jesus & his family"
"P56","236","BT819-891","Eschatology"
"P57","250","BR?","Christian orders & local church"
"P58","260","BR?","Christian social theology"
"P59","270","BR140-1510","Christian church history"
"P60","280","BX?","List of Christian denominations"
"P61","282","BX800-4795","Roman Catholic Church"
"P62","283","BX5001-6093","Anglican churches (English and Protestant Episcopal)"
"P63","284","BX?","Protestants of Continental origin"
"P64","286","BX6201-6495, BX7301-7343, BX6101-6193","Baptist, Disciples of Christ, Adventist"
"P65","287","BX8201-8495","Methodist & related churches"
"P66","289","BX7601-7795, BX7801-7843, BX8101-8144, BX 8799-8809, BX9751-9793, BX9998","Other denominations and sects"
"P67","290","BL660-2680","Non-Christian religion"
"P68","292","BL700-820","Greek mythology and Roman mythology"
"P69","295","BL1500-1590","Zoroastrianism"
"P70","296","BM","Judaism"
"P71","297","BP","Islam, Bábís, Bahá'í Faith"
"P72","300","H","Social sciences"
"P73","301","HM","Sociology"
"P74","301","GN","Anthropology"
"P75","310","HA154-473","General statistics (of parts of the world)"
"P76","320","J","Political science"
"P77","327","JZ","International relations"
"P78","330","HB","Economics"
"P79","331","HD4801-8943","Labor economics"
"P80","332","HG","Financial economics"
"P81","333","HD101-1399","Economics of land"
"P82","333","HD9502","Economics of energy"
"P83","336","HJ","Public finance"
"P84","339","HB?","Macroeconomics"
"P85","340","K","Law"
"P86","341","KZ","International law"
"P87","345","K5000-5582","Criminal law"
"P88","346","KB479","Private law"
"P89","347","K2201-2385","Civil procedure"
"P90","347","K2100-2385","Courts"
"P91","350","JF","Public administration"
"P92","352","JS","City government"
"P93","353","JK1-9593","U.S. federal government"
"P94","353","JK2403-9593","U.S. state governments"
"P95","355","U","Military Science"
"P96","360","H","Social services; association"
"P97","361","HN","General social problems & services"
"P98","362","HN","Social welfare problems & services"
"P99","363","HN","Other social problems & services"
"P100","364","HV6001-7220","Criminology"
"P101","365","HV8301-9920","Penal & related institutions"
"P102","366","HS","Association"
"P103","367","HS","General clubs"
"P104","368","K1960-1973","(Social) Insurance"
"P105","370","L","Education"
"P106","371","LB3011-3095","School management"
"P107","371","LC3950-4806.5","Special education"
"P108","372","LB1501-1602","Elementary education"
"P109","373","LB1603-1699","Secondary education"
"P110","374","LC5201-6661","Adult education"
"P111","376","LC1401-2572","Education of women"
"P112","377","LC321-951","Schools & religion"
"P113","378","LB2300-2430","Higher education"
"P114","380","HF","Commerce, communications, transport"
"P115","382","HF1","International commerce (Foreign trade)"
"P116","383","HE6000-7500","Postal communications"
"P117","384","HE","Communication"
"P118","384","HE7601-8700.9","Telecommunication"
"P119","385","HE1001-5600","Railways"
"P120","386","HE380-560","Inland waterway"
"P121","386","HE5751-5870","Ferry transport"
"P122","387","HE380-971","Water transportation"
"P123","387","HE9761-9900","Air transportation"
"P124","387","TL787-4050","Space transportation"
"P125","388","HE","Transport"
"P126","390","GT","Customs"
"P127","390","BJ1801-2195","Etiquette"
"P128","390","GR","Folklore"
"P129","391","GT500-2370","Costume and Personal Appearance"
"P130","392","GT2400-3390.5","Customs of life cycle & domestic life"
"P131","393","GT2400-3390.5","Customs of Death"
"P132","395","BJ1801-2195","Etiquette"
"P133","398","GR","Folklore"
"P134","400","P","Language"
"P135","410","P101-410","Linguistics"
"P136","411","P327-327.5","Writing systems"
"P137","412","P321-324.5","Etymology"
"P138","414","P?","Phonology phonetics"
"P139","415","P201-299","Grammar"
"P140","419","PM8001-8995","Sign language"
"P141","420","PE","English language"
"P142","430","PD","Germanic language"
"P143","440","PC2001-3761","French language"
"P144","449","PC3201-3366","Provençal"
"P145","449","PC3801-3976","Catalan"
"P146","450","PC1001-1977","Italian language"
"P147","459","PC601-872","Romanian language"
"P148","459","PC901-986","Rhaeto-Romanic language"
"P149","460","PC4001-4977","Spanish language"
"P150","469","PC5001-5498","Portuguese language"
"P151","470","PA2001-2915","Latin language"
"P152","480","PA201-899","Greek language"
"P153","490","P501-769","Indo-European Languages"
"P154","492","PJ991-995","Afro-Asiatic languages"
"P155","494","PL1-481","Altaic languages"
"P156","495","PL3521-4001","Sino-Tibetan languages"
"P157","496","PL8000-8844","African languages"
"P158","497","PM101-2711","North American languages (Native American languages)"
"P159","498","PM3001-4566","Central American Languages (Native American languages)"
"P160","498","PM5001-7356","South American Languages (Native American languages)"
"P161","500","Q","Natural sciences & mathematics"
"P162","510","QA","Mathematics"
"P163","512","QA150-272","Algebra"
"P164","513","QA101-145","Arithmetic"
"P165","514","QA612-699","Topology"
"P166","515","QA299-433","Analysis / Calculus"
"P167","516","QA440-611","Geometry (excluding Topology)"
"P168","519","QA273-299","Probability, Statistics, Numerical analysis"
"P169","520","QB","Astronomy"
"P170","521","QB349-421","Celestial mechanics"
"P171","530","QC","Physics"
"P172","531","QC120-168.85","Classical mechanics; Solid mechanics"
"P173","532","QC120-168.85","Fluid mechanics; Liquid mechanics"
"P174","533","QC120-168.85","Gas mechanics"
"P175","534","QC221-246","Sound & related vibrations"
"P176","535","QC350-467","Light & paraphotic phenomena"
"P177","536","QC251-338.5","Heat"
"P178","537","QC501-721","Electricity & electronics"
"P179","538","QC750-766","Magnetism"
"P180","539","QC770-798","Modern physics"
"P181","540","QD","Chemistry & allied sciences"
"P182","541","QD450-801","Physical & theoretical chemistry"
"P183","542","QD1-65","Techniques, equipment, materials"
"P184","543","QD71-142","Analytical chemistry"
"P185","544","QD71-142","Qualitative analysis"
"P186","545","QD71-142","Quantitative analysis"
