"Software","Keywords","Descriptions","Custom Tag Fields","Metadata","Knowledge Tags","Notes"
"Connectbeam","Yes","Yes","No","No","No","none"
"Dogear","Yes","No","No","No","No","none"
"Jumper 2.0","Yes","Yes","Yes","Yes","Yes","none"
"Knowledge Plaza","Yes","Yes","Yes","Yes","No","none"
"Licorize","Yes","Yes","Yes","No","No","none"
"Scuttle","Yes","Yes","No","No","No","none"
