"Software","Hardware","Hardware","Hardware","Hardware","Hardware","Hardware","Hardware"
"","Nintendo 3DS
Nintendo 3DS XL
Nintendo 2DS","Nintendo DSi
Nintendo DSi XL","Nintendo DS
Nintendo DS Lite","Game Boy Micro","Game Boy Advance
Game Boy Advance SP","Game Boy Color","Game Boy
Game Boy Pocket
Game Boy Light"
"3DS","","","","","","",""
"DSi (DSi-exclusive)
and DSiWare","","","","","","",""
"DS","","","","","","",""
"GBA","Some via Virtual Console","","(single-player only)","","","",""
"GBC","Some via Virtual Console","","","","","",""
"GB","Some via Virtual Console","","","","","",""
