"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power
GFLOPS","Processing Power
GFLOPS","API support (version)","API support (version)","TDP (watts)","Notes"
"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single Precision","Double Precision","DirectX","OpenGL","TDP (watts)","Notes"
"Quadro FX 500","NV34GL","150","AGP 8x","128","270","270","480","1:2:2:2
*:4:4:4","1.08","1.08","7.687","DDR","128","","","9.0","2.0","","Stereo Display"
"Quadro FX 600","NV34GL","150","PCI","256","350","350","800","1:2:2:2
*:4:4:4","1","1","7.8","DDR","128","","","9.0","2.0","","Stereo Display"
"Quadro FX 700","NV35GL","150","AGP 8x","128","275","275","275","1:2:2:2
*:4:4:4","1.1","1.1","4.4","DDR","128","","","9.0","2.0","","Stereo Display"
"Quadro FX 1000","NV30GL","130","AGP 8x","128","300","300","300","2:4:8:8","2.4","2.4","9.6","DDR2","128","","","9.0","2.0","","Stereo Display"
"Quadro FX 1100","NV36GL","130","AGP 8x","256","425","425","325","3:2:2:2
*:4:4:4","1.7","1.7","5.2","DDR2","128","","","9.0","2.0","","Stereo Display"
"Quadro FX 2000","NV30GL","130","AGP 8x","128","400","400","800","2:4:8:8","3.2","3.2","12.8","DDR2","128","","","9.0","2.0","","Stereo Display"
"Quadro FX 3000","NV35GL","130","AGP 8x","256","400","400","850","3:4:8:8","3.2","3.2","27.2","DDR","256","","","9.0","2.0","","Stereo Display"
"Quadro FX 3000G","NV35GL","130","AGP 8x","256","400","400","850","3:4:8:8","3.2","3.2","27.2","DDR","256","","","9.0","2.0","","Stereo Display, Genlock"
"Quadro FX 4000","NV40GL","130","AGP 8x","256","375","375","1000","5:12:12:8","3","4.5","32.0","GDDR3","256","","","9.0c","2.1","142","Stereo Display"
"Quadro FX 4000 SDI","NV40GL","130","AGP 8x","256","375","375","1000","5:12:12:8","3","4.5","32.0","GDDR3","256","","","9.0c","2.1","","Stereo Display, Genlock"
