"","variable","constant","type synonym"
"Ada","","",""
"ALGOL 68","","",""
"C (C99)","","",""
"Objective-C","","",""
"C++","","",""
"C#","","",""
"D","","",""
"Java","","","N/A"
"JavaScript","","",""
"Go","","",""
"Swift","","",""
"Common Lisp","","",""
"Scheme","","",""
"ISLISP","","","N/A"
"","","",""
"Visual Basic","","",""
"Visual Basic .NET","","",""
"Xojo","","","N/A"
"Python","","N/A",""
"CoffeeScript","","N/A",""
"S-Lang","","",""
"Fortran","type name","",""
"PHP","","","N/A"
"Perl","","",""
"Perl 6","","",""
"Ruby","","",""
"Scala","","",""
"Windows PowerShell","","N/A","N/A"
"Bash shell","","N/A","N/A"
"OCaml","","",""
"F#","","",""
"Standard ML","","",""
"Haskell","","",""
"Forth","(in some systems use  instead)","",""
"COBOL","","",""
"Mathematica","","N/A","N/A"
