"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power 
 GFLOPS","API support (version)","API support (version)","TDP (watts)","Notes"
"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single precision","DirectX","OpenGL","TDP (watts)","Notes"
"Quadro FX 1600M","G84M","80","PCIe 1.0 x16","512","625","1250","1600","32:16:8","5","10","25.6","GDDR3","128","120","10.0","3.3","50?",""
"Quadro FX 3600M","G92M","65","PCIe 1.0 x16","512","500","1250","1600","64:32:16
96:48:16","8
8","16
24","51.2","GDDR3","256","240
360","10.0","3.3","70","based on 8800M GTS/
8800M GTX"
