"Products","Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory","API support (version)","API support (version)"
"Products","Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTextels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)","DirectX","OpenGL"
"P15","","","","","","","","","","","","","","","","",""
"P1","GeForce4 MX IGP + nForce2","October 1, 2002","NV1F","FSB","Up to 128 system RAM","250","266
400","2:0:4:2","500","500","1000","0","2.128
6.4","DDR","64
128","7.0","1.2"
"P2","GeForce4 MX420","February 6, 2002","NV17","AGP 4x
PCI","64","250","166","2:0:4:2","500","500","1000","0","2.656","SDR","128","7.0","1.2"
"P3","GeForce4 MX440 SE","2002","NV17","AGP 4x
PCI","64
128","250","332","2:0:4:2","500","500","1000","0","5.312","DDR","128","7.0","1.2"
"P4","GeForce MX4000","December 14, 2003","NV18B","AGP 8x
PCI","64
128","250","332","2:0:4:2","500","500","1000","0","2.656","DDR","64","7.0","1.2"
"P5","GeForce PCX4300","February 19, 2004","NV18B","PCI-E x16","128","250","666","2:0:4:2","500","500","1000","0","5.328","DDR","64","7.0","1.2"
"P6","GeForce4 MX440","February 6, 2002","NV17","AGP 4x
PCI","64
128","275","400","2:0:4:2","550","550","1100","0","6.4","DDR","128","7.0","1.2"
"P7","GeForce4 MX440 8x","September 25, 2002","NV18","AGP 8x
PCI","64
128","275","500","2:0:4:2","550","550","1100","0","8","DDR","128","7.0","1.2"
"P8","GeForce4 MX460","February 6, 2002","NV17","AGP 4x
PCI","64
128","300","550","2:0:4:2","600","600","1200","0","8.8","DDR","128","7.0","1.2"
"P9","GeForce4 Ti4200","April 16, 2002","NV25","AGP 4x","64
128","250","444 (128 MB)
500 (64 MB)","4:2:8:4","1000","1000","2000","125","7.104 (128 MB)
8 (64 MB)","DDR","64
128","8.1","1.3"
"P10","GeForce4 Ti4400","February 6, 2002","NV25","AGP 4x","128","275","550","4:2:8:4","1100","1100","2200","137.5","8.8","DDR","128","8.1","1.3"
"P11","GeForce4 Ti4800 SE","January 20, 2003","NV28","AGP 8x","128","275","550","4:2:8:4","1100","1100","2200","137.5","8.8","DDR","128","8.1","1.3"
"P12","GeForce4 Ti4600","February 6, 2002","NV25","AGP 4x","128","300","650","4:2:8:4","1200","1200","2400","150","10.4","DDR","128","8.1","1.3"
"P13","GeForce4 Ti4800","January 20, 2003","NV28","AGP 8x","128","300","640","4:2:8:4","1200","1200","2400","150","10.4","DDR","128","8.1","1.3"
"P14","","","","","","","","","","","","","","","","",""
