"Generics","Java","C#"
"Implementation","Type erasure","Reification"
"Runtime realization","No","Yes"
"Covariance","Yes","Yes"
"Contravariance","Yes","Yes"
"Reference type constraint","Yes; implicit","Yes"
"Value/primitive type constraint","No","Yes"
"Constructor constraint","No","Yes"
"Relation constraint","Yes","Yes"
"Primitive/value type support","No","Yes"
"Migration compatibility","Yes","No"
