"Products","Model","Launch","Code name","Fab (nm)","Bus interface","Memory (GB)","Core config","Clock speed","Clock speed","Clock speed","Fillrate","Fillrate","Memory","Memory","Memory","API support (version)","API support (version)","Processing Power
 (GFLOPS)","TDP (watts)","Notes"
"Products","Model","Launch","Code name","Fab (nm)","Bus interface","Memory (GB)","Core config","Core (MHz)","Shader (MHz)","Memory (MT/s)","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","DirectX","OpenGL","Processing Power
 (GFLOPS)","TDP (watts)","Notes"
"P14","","","","","","","","","","","","","","","","","","","",""
"P1","GeForce 810M","February 2014","GF117","28","PCIe 2.0 x16","1","48:8:4","738-888","1476-1776","1800","2.95-3.55","5.9-7.1","14.4","DDR3","64","12.0","4.5","141.7-170.5","15",""
"P2","GeForce 820M","February 2014","GF117","28","PCIe 2.0 x16","2","96:16:4","719-954","1438-1908","2000","2.9-3.8","11.5-15.3","16","DDR3","64","12.0","4.5","276.1-366.3","15","115% of 620 (Fermi)"
"P3","GeForce 825M","January 27, 2014","GK208","28","PCIe 3.0 x8","2","384:16:8
(2 SMX)","850","850","1800","6.8","13.6","14.4","DDR3","64","12.0","4.5","652.8","33","94% of 630 (Kepler)"
"P4","GeForce 830M","March 12, 2014","GM108","28","PCIe 3.0 x16","2","256:16:8
(2 SMM)","1029","1029","1800","8.2","16.5","14.4","DDR3","64","12.0","4.5","526.8","~25","50% of 750 (Maxwell)"
"P5","GeForce 840M","March 12, 2014","GM108","28","PCIe 3.0 x16","2","384:24:8
(3 SMM)","1029","1029","2000","8.2","24.7","16","DDR3","64","12.0","4.5","790.3","30","50-80% of 745 (Maxwell)"
"P6","GeForce 845M","","","","PCIe 3.0 x16","","","","","","","","16","DDR3","64","","","","",""
"P7","GeForce GTX 850M","March 12, 2014","GM107","28","PCIe 3.0 x16","2","640:40:16
(5 SMM)","876+Boost","876+Boost","5000","14.0","35.0","80","GDDR5","128","12.0","4.5","1121.3","40","85% of 750Ti"
"P8","GeForce GTX 850M","March 12, 2014","GM107","28","PCIe 3.0 x16","2","640:40:16
(5 SMM)","936+Boost","936+Boost","2000","15.0","37.4","32","DDR3","128","12.0","4.5","1198.1","40","80% of 750Ti"
"P9","GeForce GTX 860M","March 12, 2014","GM107","28","PCIe 3.0 x16","2","640:40:16
(5 SMM)","1020-1085","1020-1085","5000","16.5","41.2","80","GDDR5","128","12.0","4.5","1389","40-45","equal to 750Ti"
"P10","GeForce GTX 860M","March 12, 2014","GK104","28","PCIe 3.0 x16","4","1152:96:16
(6 SMX)","797-915","797-915","5000","12.8","76.5","80","GDDR5","128","12.0","4.5","2108","75","similar to 660 OEM."
"P11","GeForce GTX 870M","March 12, 2014","GK104","28","PCIe 3.0 x16","3
6","1344:112:24
(7 SMX)","941-967","941-967","5000","22.6","105.4","120","GDDR5","192","12.0","4.5","2599","110","105% of 660Ti"
"P12","GeForce GTX 880M","March 12, 2014","GK104","28","PCIe 3.0 x16","4
8","1536:128:32
(8 SMX)","954-993","954-993","5000","30.5","122.1","160","GDDR5","256","12.0","4.5","3104","130","90% of 770"
"P13","","","","","","","","","","","","","","","","","","","",""
