"File system","DOS","Windows 9x","Windows NT","Linux","Mac OS","Mac OS X","FreeBSD","BeOS","Solaris","AIX","z/OS","OS/2","Windows CE","Windows Mobile","VxWorks","HP-UX","Plan 9"
"ReiserFS","No","Unknown","Partial with DiskInternals Linux Reader (read-only)","Yes since kernel 2.4.1","No","No","Partial - read only","Partial - read only","Unknown","Unknown","Unknown","Unknown","with 3rd-party app","with 3rd-party app","Unknown","Unknown","No"
"Reliance","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","Unknown","No"
"Reliance Nitro","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Unknown","No"
"RT-11","No","Unknown","Unknown","Unknown","No","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","Yes","Unknown","No"
"UDF","Unknown","Partial read-only support of UDF 1.02 since Win95 OSR2","Yes","Yes","Yes since Mac OS 9","Yes","Yes","Partial","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","No"
"UFS1","No","Unknown","Unknown","Partial - read only","No","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"UFS2","No","Unknown","Partial - with DiskInternals Linux Reader (read-only)","Partial - read only","No","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"VMFS2","Unknown","Unknown","Unknown","Unknown","No","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No"
"VMFS3","No","Unknown","Unknown","Partial read-only with vmfs","Unknown","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No"
"VxFS","No","Unknown","Unknown","Yes","No","Unknown","No","Unknown","Yes","Yes","Unknown","Unknown","No","No","Unknown","Yes","No"
"XFS","No","Unknown","Unknown","Yes since kernel 2.4","No","Unknown","Partial: read-only","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","Unknown","Unknown","No"
"ZFS","No","No","No","with 3rd Party kernel module or FUSE","No","with free 3rd-party software","Yes","No","Yes","No","No","No","Unknown","Unknown","Unknown","Unknown","No"
"","","","","","","","","","","","","","","","","",""
