"Native interoperability","Java","C#"
"Cross-language interoperability","Yes (with Nashorn, CORBA, JNI or JNA)","Yes; C# was designed for it"
"External/native methods","Yes","Yes"
"Marshalling","External glue code required","Yes; metadata controlled"
"Pointer and arithmetics","No; but references exist","Yes"
"Native types","Yes","Yes"
"Fixed-size buffers","No","Yes"
"Explicit stack allocation","No","Yes"
"Address-of","No","Yes"
"Object pinning (fix variable to address)","No","Yes"
