"","Functions","Exception handling","Search & replace on variable substitutions","Arithmetic","Floating point","Math function library","Linear arrays or lists","Associative arrays","Lambda functions","eval function","Pseudorandom number generation","Bytecode"
"Bourne shell 1977 version","No","Yes (via )","No","No","No","No","No","No","No","Yes","No","No"
"Bourne shell current version","Yes since SVR2","Yes (via )","No","No","No","No","No","No","No","Yes","No","No"
"POSIX shell","Yes","Yes (via )","No","Yes","No","No","No","No","No","Yes","No","No"
"bash (v4.0)","Yes","Yes (via )","Yes (via  syntax)","Yes","No","No","Yes","Yes","No","Yes","Yes ()","No"
"csh","No","No","Yes (via  syntax)","Yes","No","No","Yes","No","No","Yes","No","No"
"tcsh","No","No","Yes (via  syntax)","Yes","No","No","Yes","No","No","Yes","No","No"
"Hamilton C shell","Yes","No","Yes (via  syntax)","Yes","Yes","Yes","Yes","No","No","Yes","Yes (random utility)","No"
"Scsh","Yes","?","Yes (via string functions and regular expressions)","?","?","?","Yes","?","Yes","Yes","Yes (random-integer, random-real)","Yes (compiler is Scheme48 virtual machine, via )"
"ksh (ksh93t+)","Yes","Yes (via )","Yes (via  syntax and builtin commands)","Yes","Yes","No","?","Yes","No","Yes","Yes ()","Yes (compiler is called )"
"pdksh","Yes","Yes (via )","No","Yes","No","No","?","?","No","Yes","Yes ()","No"
"zsh","Yes","Yes","Yes (via  and  syntax)","Yes","Yes","Yes ( module)","Yes","Yes","No","Yes","Yes ()","Yes (built-in  command)"
"ash","Yes","Yes (via )","No","Yes (since 1992)","No","No","No","No","No","Yes","No","No"
"CCP","No","?","No","No","?","?","No","No","No","No","No","No"
"COMMAND.COM","No","Partial (only Auto-fail (via  (or  in some versions of DR-DOS))","No","No","No","No","No","No","No","No","No","No"
"OS/2 CMD.EXE","No","No","No","?","No","No","?","No","No","No","No","No"
"Windows CMD.EXE","Yes (via )","No","Yes (via  syntax)","Yes (via )","No","No","Yes (via )","No","No","No","Yes ()","No"
"4DOS","Yes","Yes (via  command, optional Auto-fail via )","Yes (via  function)","Yes (via )","?","?","Yes (via ranges, include lists, file lists and  command)","No","No","Yes","Yes ( function)","Yes (via  command)"
"4OS2","?","?","?","?","?","?","?","?","No","Yes","Yes ( function)","?"
"TCC (formerly 4NT)","Yes","Yes (via  and various  commands)","Yes (via  function)","Yes (via )","?","?","Yes (via ranges, include lists, file lists and  command)","?","No","Yes","Yes ( function)","Yes (via  command)"
"Windows PowerShell","Yes","Yes","Yes ( operator)","Yes","Yes","[Math] class","Yes","Yes","Yes","Yes","Yes","Yes, automatic"
"rc","Yes","Yes","No","?","?","?","?","?","No","Yes","No","No"
"BeanShell","Yes","Yes","?","Yes","?","?","Yes","Yes","No","Yes","Yes","Yes"
"VMS DCL","Yes","Yes","No","Yes","?","?","Yes","?","No","No","No","No"
"fish","Yes","Yes (via )","No","style=""background: #ddffdd; color: black; vertical-align: middle; text-align: center; ""|fish math","style=""background: #ddffdd; color: black; vertical-align: middle; text-align: center; ""|fish math","style=""background: #ddffdd; color: black; vertical-align: middle; text-align: center; ""|fish math","Yes","No","No","Yes","Yes ()","No"
