"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory","API (version)","API (version)"
"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","MPixels/s","MTextels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)","DirectX","OpenGL"
"All-In-Wonder Radeon","Jul 31, 2000","R100","180","AGP 4x","32","166","332","2:1:6:2","332","996","41.5","5.312","DDR","128","7.0","1.4"
"All-In-Wonder 7500","Jan 22, 2002","RV200","150","AGP 4x","64","260","360","2:0:6:2","520","1560","0","11.52","DDR","128","7.0","1.4"
"All-In-Wonder VE","Dec 2, 2002","RV200","150","AGP 4x","64","250","500","2:0:6:2","500","1500","0","8","DDR","128","7.0","1.4"
"All-In-Wonder 8500","Apr 4, 2002","R200","150","AGP 4x","128","260","550","4:2:8:4","1100","2200","137.5","8.8","DDR","128","8.1","1.4"
"All-In-Wonder 8500 DV","Aug 30, 2001","R200","150","AGP 4x","64","230","380","4:2:8:4","920","1840","115","6.08","DDR","128","8.1","1.4"
"All-In-Wonder 9000 Pro","Mar 31, 2003","RV250","150","AGP 8x","64, 128","275","550","4:1:4:4","1110","1110","68.75","8.8","DDR","128","8.1","1.4"
"All-In-Wonder 9200","Jan 26, 2004","RV250","150","AGP 8x","128","250","400","4:1:4:4","1000","1000","62.5","6.4","DDR","128","8.1","1.4"
"All-In-Wonder 9200 SE","N/A","RV250","150","AGP 8x","128","250","332","4:1:4:4","1000","1000","62.5","2.656","DDR","64","8.1","1.4"
"All-In-Wonder 9600","Jan 26, 2004","RV350","130","AGP 8x","128","325","400","4:2:4:4","1300","1300","162.5","6.4","DDR","128","9.0","2.0"
"All-In-Wonder 9600 Pro","Aug 05, 2003","RV350","130","AGP 8x","128","400","650","4:2:4:4","1600","1600","200","10.4","DDR","128","9.0","2.0"
"All-In-Wonder 9600 XT","Jan 26, 2004","RV360","130","AGP 8x","128","525","650","4:2:4:4","2100","2100","262.5","10.4","DDR","128","9.0","2.0"
"All-In-Wonder 9700 Pro","Dec 30, 2002","R300","150","AGP 8x","128","325","620","8:4:8:8","2600","2600","325","19.84","DDR","256","9.0","2.0"
"All-In-Wonder 9800 Pro","Apr 7, 2003","R350","150","AGP 8x","128","380","680","8:4:8:8","3040","3040","380","21.76","DDR","256","9.0","2.0"
"All-In-Wonder 9800 SE","Nov 1, 2003","R350","150","AGP 8x","128","380","680","4:4:4:8","3040","1520","380","10.88","DDR","128","9.0","2.0"
"All-In-Wonder X600 Pro","Sept 21, 2004","RV370","110","AGP 8x","256","400","600","4:2:4:4","1600","1600","200","9.6","DDR","128","9.0","2.0"
"All-In-Wonder X800 GT","Aug 8, 2005","R430","110","PCI-E x16","128","490","980","8:6:8:16","6400","3200","600","31.36","GDDR3","256","9.0b","2.0"
"All-In-Wonder X800 XL","Jul 5, 2005","R430","110","PCI-E x16","256","400","980","16:6:16:16","6400","6400","600","31.36","GDDR3","256","9.0b","2.0"
"All-In-Wonder X800 XT","Sept 9, 2004","R420","130","AGP 8x","256","500","1000","16:6:16:16","8000","8000","750","32","GDDR3","256","9.0b","2.0"
"All-In-Wonder 2006","Dec 22, 2005","RV515","90","PCI-E x16","256","450","800","4:2:4:4","1800","1800","225","12.8","DDR2","128","9.0c","2.0"
"All-In-Wonder X1800 XL","Nov 21, 2005","R520","90","PCI-E x16","256","500","1000","16:8:16:16","8000","8000","1000","32","GDDR3","256","9.0c","2.0"
"All-In-Wonder X1900","Jan 24, 2006","R580","90","PCI-E x16","256","500","960","48:8:16:16","8000","8000","1000","30.72","GDDR3","256","9.0c","2.0"
"All-In-Wonder HD 3650","Jun 28, 2008","RV635","55","PCI-E x16","512","725","1200","120:8:4","2900","5800","N/A","19.2","DDR2","128","10.1","2.1"
