"Service","Tagging","Groups","Conversation","Private","Private following list","OpenMicroBlogging","RSS","Atom","FOAF","Bookmarklet"
"Facebook","Yes","Yes","Yes","Yes","?","No","Yes","No","?","?"
"Google+","Yes","Yes","Yes","Yes","Yes","No","No","No","?","?"
"identi.ca","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes"
"Twitter","Yes","No","Yes","Yes","?","Yes","No","No","No","No"
"Instapray","Yes","Yes","Yes","Yes","?","No","No","No","No","No"
