"","MySQL","PostgreSQL","MSSQL","Oracle","SQLite","NoSQL","Firebird","Flat file"
"bbPress","Yes","No","No","No","No","No","No","No"
"Beehive Forum","Yes","No","No","No","No","No","No","No"
"Discourse","No","Yes","No","No","No","No","No","No"
"Discuz!","Yes","Yes","No","No","No","No","No","No"
"eXo Platform","Yes","Yes","Yes","Yes","No","No","No","No"
"FluxBB","Yes","Yes","No","No","Yes (SQLite 2)","No","No","No"
"FUDforum","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"Iko","Yes","No","No","No","No","No","No","No"
"Ikonboard","Yes","Yes","No","Yes","No","No","No","Yes"
"Invision Power Board","Yes","No","Discontinued","No","No","No","No","No"
"kusaba","Yes","No","No","No","No","No","No","No"
"MyBB","Yes","Yes","No","No","Yes","No","No","No"
"Phorum","Yes","Yes","No","No","No","No","No","No"
"phpBB","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"PunBB","Yes","Yes","No","No","Yes","No","No","No"
"Simple Machines 1","Yes","No","No","No","No","No","No","No"
"Simple Machines 2","Yes","Yes","No","No","Yes","No","No","No"
"Snitz Forums 2000","Yes","No","Yes","No","Yes","No","No","No"
"Syndie","Yes (HSQLDB)","No","No","No","No","No","No","No"
"UBB.classic","No","No","No","No","No","No","No","Yes"
"UBB.threads","Yes","No","No","No","No","No","No","No"
"Vanilla Forums","Yes","No","No","No","No","No","No","No"
"vBulletin","Yes","No","No","No","No","No","No","No"
"WoltLab Burning Board","Yes","No","No","No","No","No","No","No"
"XenForo","Yes","No","No","No","No","No","No","No"
"","MySQL","PostgreSQL","MSSQL","Oracle","SQLite","NoSQL","Firebird","Flat file"
