"Client","IP to Country","Protocol Obfuscation","Handles files >4GB","Chat","Buddy list","Send FILERATING tags to servers","EndGame","AICH","L2HAC","Secure User ID","Global Searches","UPnP port mapping","Intelligent Chunk Selection","Lancast","HideOS / SotN",""
"aMule","aMule","Protocol Obfuscation","Handles files >4GB","Chat","Buddy list","Send FILERATING tags to servers","","AICH","L2HAC","Secure User ID","Global Searches","UPnP port mapping","Intelligent Chunk Selection","Lancast","HideOS / SotN",""
"eMule","Official","No","Yes","Yes","Yes","Yes","Yes","zz's Version","Yes","No","Yes","Yes","Yes","No","No","No"
"eMule","Official","No","Yes","Yes","Yes","Yes","Yes","zz's Version","Yes","No","Yes","Yes","Yes","No","No","No"
"eMule","Osp","No","Yes","Yes","Yes","Yes","Yes","zz's Version","Yes","No","Yes","Yes","Yes","No","No","No"
"eMule","AnalyZZUL","No","Yes","Yes","Yes","Yes","Yes","zz's Version","Yes","No","Yes","Yes","Yes","No","No","No"
"eMule","beba","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Version 1","No","No"
"eMule","Magic Angel","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","Version 1","No","both"
"eMule","Mephisto","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","No","No","both"
"eMule","MorphXT","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","Version 1","No","both"
"eMule","NeoMule","Yes","Yes","Yes","Yes","Yes","Yes","own simplified implementation","Yes","Yes","Yes","Yes","Yes","Version 2","Version 2","own implementation"
"eMule","ScarAngel","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","No","No","both"
"eMule","SharkX","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","Version 1","No","No"
"eMule","Sivka","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Version 1","HideOS"
"eMule","Spike2","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","Version 1","No","No"
"eMule","StulleMule","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","Version 1","No","both"
"eMule","Xtreme","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","No","No","own implementation"
"eMule","X-Ray","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","Version 1","No","No"
"eMule","ZZUL","No","Yes","Yes","Yes","Yes","Yes","zz's Version","Yes","No","Yes","Yes","Yes","No","No","No"
"eMule","ZZUL BastarD","No","Yes","Yes","Yes","Yes","Yes","zz's Version","Yes","No","Yes","Yes","Yes","No","No","No"
"eMule Plus","eMule Plus","Yes","No","up to 512GB","Yes","Yes","Yes","?","No","Yes","Yes","Yes","No","Yes","Version 1","manual hiding"
"Lphant","Lphant","No","Yes","Yes","Yes","Yes","Yes","Yes","CCH (similar to ICH)","No","Yes","No","Yes","No","Version 1","No"
"MLDonkey","MLDonkey","Yes","No","Yes","Yes","Yes","?","No","Yes","No","Yes","Yes","Yes","No","No","No"
"Shareaza","Shareaza","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No"
"xMule","xMule","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No"
"Client","Client","IP to Country","Protocol Obfuscation","Handles files >4GB","Chat","Buddy list","Send FILERATING tags to servers","EndGame","AICH","L2HAC","Secure User ID","Global Searches","UPnP port mapping","Intelligent Chunk Selection","Lancast","HideOS / SotN"
