"Model","Launch","Model Number","Code name","Fab (nm)","Bus interface","Memory (MB)","Clock rate","Clock rate","Config core","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power GFLOPs","API compliance (version)","API compliance (version)","TDP (Watts)GPU only","Features / Notes"
"Model","Launch","Model Number","Code name","Fab (nm)","Bus interface","Memory (MB)","Core (MHz)","Memory (MHz)","Config core","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","DirectX","Processing Power GFLOPs","","","TDP (Watts)GPU only","Features / Notes"
"Radeon HD 7430M","January 7, 2012","Seymour Pro","Caicos","40","PCIe 2.1 x16","1024","600","900","160:8:4","2.4","4.8","14.4","DDR3","64","192","11.0","4.4","7",""
"Radeon HD 7450M","January 7, 2012","Seymour Pro","Caicos","40","PCIe 2.1 x16","1024","700
700","900
800","160:8:4","2.8","5.6","14.4
25.6","DDR3
GDDR5","64","224","11.0","4.4","7",""
"Radeon HD 7470M","January 7, 2012","Seymour XT","Caicos","40","PCIe 2.1 x16","1024","750
800","900
800","160:8:4","3.0
3.2","6
6.4","14.4
25.6","DDR3
GDDR5","64","240
256","11.0","4.4","7~9",""
"Radeon HD 7490M","January 7, 2012","Seymour XTX","Caicos","40","PCIe 2.1 x16","1024","800","950","160:8:4","3.2","6.4","30.4","GDDR5","64","256","11.0","4.4","9",""
"Radeon HD 7510M","January 7, 2012","Thames LE","Turks","40","PCIe 2.1 x16","1024","450","800","400:20:8","3.6","9.0","12.8","DDR3","64","360","11.0","4.4","11",""
"Radeon HD 7530M","January 7, 2012","Thames LP","Turks","40","PCIe 2.1 x16","1024","450","900","400:24:8","3.6","9.0","14.4","DDR3","64","360","11.0","4.4","11",""
"Radeon HD 7550M","January 7, 2012","Thames Pro","Turks","40","PCIe 2.1 x16","1024","450
550","900
800","400:20:8","3.6
4.4","9.0
11.0","14.4
25.6","DDR3
GDDR5","64","360
440","11.0","4.4","13",""
"Radeon HD 7570M","January 7, 2012","Thames Pro","Turks","40","PCIe 2.1 x16","1024","450
650","900
800","400:20:8","3.6
5.2","9.0
13.0","14.4
25.6","DDR3
GDDR5","64","360
520","11.0","4.4","13~15",""
"Radeon HD 7590M","January 7, 2012","Thames XT","Turks","40","PCIe 2.1 x16","1024","600","800","480:24:8","4.8","14.4","25.6","GDDR5","64","576","11.0","4.4","18",""
"Radeon HD 7610M","January 7, 2012","Thames LE","Turks","40","PCIe 2.1 x16","1024","450","800","400:20:8","3.6","9.0","25.6","DDR3","128","360","11.0","4.4","20",""
"Radeon HD 7630M","January 7, 2012","Thames LP","Turks","40","PCIe 2.1 x16","1024","450","800","480:24:8","3.6","10.8","25.6","DDR3","128","432","11.0","4.4","20~25",""
"Radeon HD 7650M","January 7, 2012","Thames Pro","Turks","40","PCIe 2.1 x16","1024","450
550","800
800","480:24:8","3.6
4.4","10.8
13.2","25.6","DDR3","128","432
528","11.0","4.4","20~25",""
"Radeon HD 7670M","January 7, 2012","Thames Pro","Turks","40","PCIe 2.1 x16","1024","600","900","480:24:8","4.8","14.4","28.8
57.6","DDR3
GDDR5","128","576","11.0","4.4","20~25",""
"Radeon HD 7690M","January 7, 2012","Thames XT","Turks","40","PCIe 2.1 x16","1024
2048","725
600","900
900","480:24:8","5.8
4.8","17.4
14.4","28.8
57.6","DDR3
GDDR5","128","696
576","11.0","4.4","20~25",""
"Radeon HD 7690M XT","January 7, 2012","Thames XTX","Turks","40","PCIe 2.1 x16","1024
2048","725","900","480:24:8","5.8","17.4","57.6","GDDR5","128","696","11.0","4.4","25",""
"Radeon HD 7730M","April 24, 2012","Chelsea LP","Cape Verde","28","PCIe 2.1 x16","2048","575
675","900
900","512:32:16","9.2
10.8","18.4
21.6","28.8","GDDR3","128","588.8
691.2","11.1","4.4","25~28",""
"Radeon HD 7750M","April 24, 2012","Chelsea Pro","Cape Verde","28","PCIe 2.1 x16","1024
2048","575","1000","512:32:16","9.2","18.4","64","GDDR5","128","588.8","11.1","4.4","28",""
"Radeon HD 7770M","April 24, 2012","Chelsea XT","Cape Verde","28","PCIe 2.1 x16","1024
2048","675","1000","512:32:16","10.8","21.6","64","GDDR5","128","691.2","11.1","4.4","32",""
"Radeon HD 7850M","April 24, 2012","Heathrow Pro","Cape Verde","28","PCIe 3.0 x16","2048","675","1000","640:40:16","10.8","27","64","GDDR5","128","864","11.1","4.4","40",""
"Radeon HD 7870M","April 24, 2012","Heathrow XT","Cape Verde","28","PCIe 3.0 x16","2048","800","1000","640:40:16","12.8","32","64","GDDR5","128","1024","11.1","4.4","40 - 45",""
"Radeon HD 7970M","April 24, 2012","Wimbledon XT","Pitcairn","28","PCIe 3.0 x16","2048 - 4096","850","1200","1280:80:32","27.2","68","153.6","GDDR5","256","2176","11.1","4.4","75",""
