"Name","As a server","As a server","As a server","As a server","As a server","As a server","As a server","As a server","As a client","As a client","As a client","As a client","As a client","As a client","As a client","As a client"
"Name","Z39.50","CSW 2.0","OAI-MPH","OpenSearch","OpenSearch GEO","RSS","GeoRSS","WebDav","Z39.50","CSW 2.0","OAI-MPH","OpenSearch","OpenSearch GEO","RSS","GeoRSS","WebDav"
"GeoNetwork","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes"
