"Manager","Latest stable release","License / Price (USD)","Adware, Malware & Spyware","CLI","GUI","Web","Linux","Windows","Mac OS X"
"4K Video Downloader","3.0.2.1
(November 6, 2013; 18 months ago)","Proprietary / Freemium","No","No","Yes","No","Yes","Yes","Yes"
"BitComet","1.38 (March 30, 2015; 2 months ago) 

                                                               ","Proprietary / freeware","Adware from version 0.85 to 0.97;
Potentially sensitive information reported to BC Servers","Partial","Yes","Yes","No","Yes","No"
"Download Accelerator Manager","?","Freeware, $24.95 for Ultimate","No","?","?","?","?","Yes","?"
"Download Accelerator Plus","10.0.5.7
(November 27, 2013; 18 months ago)","Proprietary / Adware Free, $24.95 for Premium","Adware on free version","Yes","Yes","Yes","No","Yes","No"
"Download Express","1.9.341
(June 27, 2007; 7 years ago)","Proprietary / Freeware, $9.95 for advanced mode","None Known","Yes","Yes","No","No","Yes","No"
"DownloadStudio","7.0.5.0
(October 20, 2011; 3 years ago)","Shareware / $24.95","None Known","Yes","Yes","Yes","No","Yes","No"
"DownThemAll!","2.0.18 (January 20, 2015; 4 months ago)","GPL /","None Known","No","Yes","No","Requires Firefox","Requires Firefox","Requires Firefox"
"EagleGet","2.0.3.7
(April 29, 2015; 43 days ago)","Freeware","?","?","?","?","No","Yes","No"
"FlashGet","3.7.0.1195
(January 10, 2012; 3 years ago)","Proprietary / Freeware","Cydoor Pop-up ads,
banners","No","Yes","Yes","No","Yes","No"
"Folx","3.0.870
(October 9, 2013; 19 months ago)","Shareware / $19.95","No","Yes","Yes","Yes","No","No","Yes"
"Free Download Manager","3.9.5 (build 1537) (April 14, 2015; 58 days ago)","GPL /","Software Informer (optional install)","No","Yes","No","No","Yes","No"
"Freemake Video Downloader","3.0.0.20
(February 17, 2012; 3 years ago)","Proprietary / Freeware","None Known","No","Yes","No","No","Yes","No"
"Free Studio","6.3.1.514
(May 16, 2014; 12 months ago)","Proprietary / Freeware","Adware Mobogenie (optional install)","No","Yes","No","No","Yes","No"
"FreshDownload","?","freeware, name and e-mail required","?","?","?","?","?","?","?"
"GetRight","6.5 (January 24, 2011; 4 years ago)","Proprietary / $49.95 for Pro","No","Yes","Yes","Yes","No","Yes","No"
"Go!Zilla","5.03
(February 1, 2008; 7 years ago)","Proprietary / $19.95","None as of Version 5;
Aureate adware prior to that","No","Yes","Yes","No","Yes","Yes"
"Internet Download Accelerator","5.14.2.1329
(December 27, 2012; 2 years ago)","Proprietary / Freeware, $9.95 single/$24.95 family pack for Pro","Adware on free version","No","Yes","No","No","Yes","No"
"Internet Download Manager","6.23 Build 12
(May 21, 2015; 21 days ago)","Proprietary / $29.95","None Known","Yes","Yes","No","No","Yes","No"
"JDownloader","0.9.581
(19 January 2011; 4 years ago)","GPL /","Adware Mobogenie (optional install);
Adware browser hijacker Mysearchdial (Mandatory)","No","Yes","Yes","Yes","Yes","Yes"
"Jigdo","0.7.3-3
(8 May 2006; 9 years ago)","GPLv2 /","No","Yes","No","No","Yes","Yes","Yes"
"KGet","15.04.2 (June 3, 2015; 8 days ago)","GPL /","None Known","Yes","Yes","No","Yes","Part of KDE for Windows","Part of KDE for Mac"
"Maxel","1.21
(January 28, 2015; 4 months ago)","Shareware / $7.99","No","No","Yes","Yes","No","No","Yes"
"MiniDM","2.5.1
(June 2, 2010; 5 years ago)","Proprietary / Freeware","None Known","No","Yes","No","No","Yes","No"
"MLDonkey","3.1.5 (March 22, 2014; 14 months ago)","GPL /","None Known","Yes","Yes","Yes","Yes","Yes","No"
"Shareaza","2.7.8.0 (December 15, 2014; 5 months ago)","GPL /","Original Client:
None Known","Yes","Yes","Yes","No","Yes","No"
"Tmib video downloader","3.5
(October 8, 2014; 7 months ago)","LGPL /","None","Yes","Yes","No","No","Yes","No"
"uGet",":Template:Latest stable software release/UGet","LGPL /","None","Yes","Yes","No","Yes","Yes","No"
"","","","","","","","","",""
