"Products","Specification","HTML 3.2","HTML 4.01","HTML 4.01","HTML 4.01","HTML 5","XHTML 1.0","XHTML 1.0","XHTML 1.0","XHTML 1.1","Validating"
"Products","Variant","","strict","trans.","f.set","","strict","trans.","f.set","",""
"P32","","","","","","","","","","",""
"P1","Amaya","No","No","Yes","No","No","Yes","Yes","No","Yes","Yes"
"P2","Aptana","?","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","?"
"P3","Arachnophilia","?","?","?","?","No","Yes","?","?","?","Yes"
"P4","Bluefish","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"P5","BlueGriffon","No","Yes","Yes","?","Yes","Yes","Yes","?","?","?"
"P6","Brackets","?","?","?","?","?","?","?","?","?","?"
"P7","Claris Homepage","?","?","?","?","No","?","?","?","?","?"
"P8","CoffeeCup HTML Editor","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"P9","Contribute","?","?","?","?","?","?","?","?","?","?"
"P10","Dreamweaver","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"P11","Freeway","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes"
"P12","GoLive","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","?"
"P13","HTML-Kit","?","?","Yes","?","No","?","Yes","?","?","Yes"
"P14","KompoZer","No","Yes","Yes","No","No","Yes","Yes","No","No","Yes"
"P15","Maqetta","?","?","?","?","Yes","?","?","?","?","?"
"P16","Microsoft Expression Web","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"P17","Microsoft FrontPage","?","?","?","?","No","?","?","?","?","?"
"P18","Microsoft SharePoint Designer","?","?","?","?","No","?","?","?","?","?"
"P19","Microsoft Visual Web Developer","?","?","?","?","No","?","?","?","?","?"
"P20","Mozilla Composer","?","?","?","?","No","?","?","?","?","?"
"P21","OpenBEXI","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"P22","openElement","?","?","?","?","Yes","?","?","?","?","Yes"
"P23","OpenOffice.org","?","?","?","?","?","?","?","?","?","?"
"P24","Quanta Gold","?","?","?","?","No","?","?","?","?","?"
"P25","Quanta Plus","?","?","?","?","No","?","?","?","?","?"
"P26","RapidWeaver","?","?","?","?","?","?","?","?","?","?"
"P27","SeaMonkey Composer","?","?","Yes","?","No","?","?","?","?","?"
"P28","TOWeb","No","No","No","No","Yes","No","No","No","No","Yes"
"P29","Web Architect","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"P30","WebStorm IDE","?","?","?","?","Yes","?","?","?","?","?"
"P31","","","","","","","","","","",""
