"Software","Web pages","Documents","Images","Video","Emails","Contacts","Book references","Discussions","Wiki pages","Database tables","Flat-files","Notes"
"Connectbeam","Yes","Yes","No","No","Yes","No","No","No","No","No","No","none"
"Dogear","Yes","Yes","No","No","No","No","No","No","No","No","No","none"
"Jumper 2.0","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","none"
"Knowledge Plaza","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","none"
"Licorize","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","none"
"Scuttle","Yes","No","No","No","No","No","No","No","No","No","No","none"
