"RFC","Description","Status","ejabberd","iChat Server","jabberd14","jabberd2","Metronome","Isode M-Link","MongooseIM","Openfire","Prosody","Sun Java Communications Suite","Tigase"
"RFC 3920","XMPP Core","Obsolete","Yes","Unknown","Yes","Yes","Unknown","N/A","Yes","Yes","Yes","Unknown","Yes"
"RFC 3921","XMPP IM","Obsolete","Yes","Unknown","Yes","Yes","Unknown","N/A","Yes","Yes","Yes","Unknown","Yes"
"RFC 3922","XMPP CPIM","Final","Yes","Unknown","Unknown","Unknown","Unknown","No","No","Unknown","Unknown","Unknown","Unknown"
"RFC 3923","XMPP E2E","Final","Yes","Unknown","Unknown","Unknown","Unknown","No","No","Unknown","Unknown","Unknown","Unknown"
"RFC 4854","XMPP URN","Informational","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown"
"RFC 4979","XMPP ENUM","Final","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown"
"RFC 5122","XMPP URI","Final","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown"
"RFC 6120","XMPP Core","Final","Yes/Maybe","Yes","Unknown","Unknown","Yes","Yes","Yes/Maybe","Yes/Partial","Yes","Unknown","Yes"
"RFC 6121","XMPP IM","Final","Yes/Maybe","Yes","Unknown","Unknown","Yes","Yes","Yes/Maybe","Yes/Partial","Yes","Unknown","Yes"
"RFC 6122","XMPP AF","Final","Yes/Maybe","Yes","Unknown","Unknown","Yes","Yes","Yes/Maybe","Unknown","Yes","Unknown","Unknown"
