"Name","MP3","FairPlay","ALAC","AAC","WMA-DRM","WMA Lossless","WMA","WAV","Audible","Ogg Vorbis","FLAC","Others"
"Archos 105","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No","No"
"Archos 405","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No","AC3"
"Archos 5","Yes","No","No","No","Yes","No","Yes","Yes","No","Yes","Yes","AC3"
"Archos 605 WiFi / GPS","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No","AC3"
"Archos 705 WiFi","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No","AC3"
"Cowon A3","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","APE, MPC, PCM, TTA, WV"
"Cowon D2","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","APE"
"Cowon Q5W","Yes","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","APE, MPC"
"Gigabeat T-Series","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No"
"GP2X F-200","Yes","No","No","No","No","No","No","No","No","Yes","No","APE, MP2, MPC, TTA, WV"
"iPod","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","AIFF"
"iriver clix 2G","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"PSP Slim & Lite","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","ATRAC"
"Samsung Galaxy Player","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No"
"Samsung T10","Yes","No","No","No","Yes","No","Yes","No","No","Yes","No","No"
"Samsung P2","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","No","No"
"Sansa Fuze","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Unknown"
"Sansa Fuze+","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Unknown"
"Walkman NWZ-A810 series","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","No","No"
"ZEN","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No"
"ZEN Vision W","Yes","No","No","No","Yes","No","Yes","Yes","Yes","No","No","No"
"Zune","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No","WMA Pro Stereo"
"ZVUE 260","Yes","No","No","No","Yes","No","Yes","Yes","No","Yes","No","MP2"
"","MP3","AAC-DRM","ALAC","AAC","WMA-DRM","WMA Lossless","WMA","WAV","Audible","Ogg Vorbis","FLAC","Others"
