"Product","Multi-column mode","Styles (bold/italic/etc.)","Page Turn Effects","Themes","Day/Night mode","Enable/Disable sleep mode","Brightness Control","Indent paragraph","Enable/Disable CSS","Enable/Disable hyphenation","Customize margins","Customize text alignment","Customize font","Customize spacing: line/paragraph"
"Apabi Reader","Yes","Yes","Configurable","Yes","Yes","Yes","Vertical swipe","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Blio","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","No","Justification only","Yes","No"
"Bluefire Reader","No","Yes","Yes","Yes","Yes","No","Vertical swipe","No","Yes","No","Pre-set choices only","Justification only","Yes","Line only"
"DL Reader","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Pre-set choices only","Justification only","Yes","No"
"eBookMobi","Yes","Yes","No","Yes","No","No","Yes","No","No","No","No","No","Yes","No"
"Ebook Reader","No","Yes","Yes","No","Yes","(Disabled by default)","Yes","No","No","No","No","No","Yes","No"
"i2Reader","Yes","Buggy","Yes","Yes","Using styles","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes"
"iBooks","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No"
"Kindle","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Pre-set choices only","Yes","Yes","Line; pre-set choices only"
"Kobo Reading App","No","Yes","Yes","No","Yes","No","Vertical swipe","No","Yes","No","No","Yes","Yes","No"
"KyBook","Yes","Yes","Yes","Yes","Using themes","No","Yes","Yes","Configurable","Yes","Yes","Yes","Yes","Yes"
"Marvin","Configurable","Yes","Configurable","Yes","Yes","Yes","Vertical swipe","Yes","Configurable","Yes","Yes","Yes","Yes","Yes"
"MegaReader","Configurable","Buggy","Configurable","Yes","Using themes","Yes","Vertical swipe","No","No","No","Yes","Yes","Yes","Line only"
"PocketBook reader","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","No"
"ShuBook","No","Buggy","Configurable","Yes","Yes","Yes","Vertical swipe","Configurable","No","Yes","None, small, large","Yes","Yes","Yes"
"Stanza","No","Yes","Configurable","Yes","Yes","Yes","Vertical swipe","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"uBooks","No","Buggy","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Yes","Yes"
"iBouquiniste","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes"
"","","","","","","","","","","","","","",""
