"","","Trident","Tasman","Gecko","WebKit","KPart","Presto","Prince XML"
"Color mode","True color","3.1","Yes","1.0","85","Yes","1.0","3.0"
"Color mode","Grayscale","3.1","","1.0","85","","1.0","3.0"
"Color mode","Palette-based (max. 256 colors)","3.1","","1.0","85","","1.0","3.0"
"Alpha channel","Alpha channel","3.1","Yes","1.0","85","Yes","1.0","3.0"
"Gamma correction","Gamma correction","5.0","Partial","Incorrect","No","Partial","?",""
"Color correction","Color correction","5.0","1.9","?","?","No","3.0",""
"Interlacing","Interlacing","Incorrect","1.0","?","4.0","1.0","?",""
"Integrity checking","Integrity checking","?","?","?","?","?","?","?"
