"File system","Stores file owner","POSIX file permissions","Creation timestamps","Last access/ read timestamps","Last content modification timestamps","Disk copy created","Last metadata change timestamps","Last archive timestamps","Access control list","Security/ MAC labels","Extended attribute/ Alternate data streams/ forks","Checksum/ ECC","Max Timestamp Resolution"
"AdvFS","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","Yes","No","Yes","No","Unknown"
"Be File System","Yes","Yes","Yes","No","Unknown","Unknown","No","No","No","No","Yes","No","Unknown"
"Btrfs","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","Yes","Yes","Yes","1 nanosecond"
"CBM DOS","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"CP/M file system","No","No","Yes","No","Unknown","Unknown","No","No","No","No","No","No","Unknown"
"DECtape","No","No","Yes","No","Unknown","Unknown","No","No","No","No","No","No","Unknown"
"DOS (GEC)","Yes","No","Yes","Yes","Yes","Unknown","No","No","No","No","No","No","Unknown"
"Elektronika BK tape format","No","No","No","No","Unknown","Unknown","No","No","No","No","No","Yes","Unknown"
"ext2","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","Yes","Yes","Yes","No","1 second"
"ext3","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","1 second"
"ext3cow","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","1 second"
"ext4","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","No","Yes","Yes","Yes","Partial","1 nanosecond"
"exFAT","No","No","Yes","Yes","Yes","No","Unknown","No","No","Unknown","Unknown","Partial","10 milliseconds"
"FAT12","No","No","Partial","Partial","Yes","Yes","No","No","No","No","No","No","10 milliseconds"
"FAT16","No","No","Partial","Partial","Yes","Yes","No","No","No","No","No","No","10 milliseconds"
"FAT32","No","No","Partial","Partial","Yes","Yes","No","No","No","No","No","No","10 milliseconds"
"FFS","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","No","No","No","No","Unknown"
"Fossil","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","No","No","No","No","1 second"
"GPFS","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","No","Yes","Yes","Yes","Yes","1 nanosecond"
"GFS","Yes","Yes","No","Yes","Unknown","Unknown","Yes","No","Yes","Yes","Yes","No","Unknown"
"HFS","No","No","Yes","No","Yes","No","No","Yes","No","No","Yes","No","Unknown"
"HFS Plus","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","1 second"
"HPFS","Yes","No","Yes","Yes","Yes","Unknown","No","No","No","Unknown","Yes","No","Unknown"
"High Sierra","No","No","Yes","No","Unknown","Unknown","No","No","No","No","No","No","Unknown"
"ISO 9660:1988","No","No","Yes","No","Yes","Unknown","No","No","No","No","No","No","Unknown"
"ISO 9660:1999","No","No","Yes","No","Unknown","Unknown","No","No","No","No","No","No","Unknown"
"JFS","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","No","Yes","Yes","Yes","No","1 second"
"Joliet (""CDFS"")","No","No","Yes","No","Yes","Unknown","No","No","No","No","No","No","Unknown"
"Lanyard Filesystem","No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","1 nanosecond"
"Level-D","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","No","No","No","Unknown"
"LFS","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","No","No","No","No","Unknown"
"Lustre","Yes","Yes","Partial","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Partial","Unknown"
"NILFS","Yes","Yes","Yes","No","Unknown","Unknown","Yes","No","Planned","No","Planned","Yes","Unknown"
"NTFS","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","100 nanoseconds"
"NSS","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","Unknown","Yes","No","Unknown"
"NWFS","Yes","Unknown","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","Unknown","Yes","No","Unknown"
"OCFS","No","Yes","No","No","Unknown","Unknown","Yes","Yes","No","No","No","No","Unknown"
"OCFS2","Yes","Yes","No","Yes","Unknown","Unknown","Yes","No","Yes","No","Yes","Partial","Unknown"
"ODS-5","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Yes","No","Unknown"
"OS4000","Yes","No","Yes","Yes","Yes","Unknown","No","No","No","No","No","No","Unknown"
"PramFS","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","Yes","Yes","Yes","Yes","1 second"
"QFS","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","No","Yes","No","Unknown"
"ReiserFS","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Unknown"
"Reiser4","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","No","No","No","No","Unknown"
"Reliance","No","No","Yes","No","Yes","No","No","No","No","No","No","Partial","Unknown"
"Reliance Nitro","Linux port","Linux port","Yes","Yes","Yes","No","No","No","Linux port","No","Yes","Partial","Unknown"
"UDF","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","No","Yes","No","Unknown"
"UFS1","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","Yes","Yes","No","No","Unknown"
"UFS2","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","No","Yes","Yes","Yes","No","Unknown"
"V6FS","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","No","No","No","No","Unknown"
"V7FS","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","No","No","No","No","Unknown"
"VMFS2","Yes","Yes","No","Yes","Unknown","Unknown","Yes","No","No","No","No","No","Unknown"
"VMFS3","Yes","Yes","No","Yes","Unknown","Unknown","Yes","No","No","No","No","No","Unknown"
"VxFS","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","No","Yes","Unknown","Yes","No","Unknown"
"XFS","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","Yes","Yes","Yes","Partial","1 nanosecond"
"ZFS","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","1 nanosecond"
"File system","Stores file owner","POSIX file permissions","Creation timestamps","Last access/read timestamps","Last content modification timestamps","Disk copy created","Last metadata change timestamps","Last archive timestamps","Access control list","Security/ MAC labels","Extended attribute/ Alternate data streams/ forks","Checksum/ ECC","Max Timestamp Resolution"
