"Client","POP3 
 fetch all messages","POP3 
 selected by filter","POP3 
 selected by user","IMAP4","SMTP","NNTP","LDAP v2","LDAP v3","EWS","IPv6","MAPI"
"Alpine","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"Atmail","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"Becky! Internet Mail","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?"
"Citadel","Yes","?","?","Yes","Yes","?","?","?","?","?","?"
"Claws Mail","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"Cone","Yes","No","No","Yes","Yes","Yes","Yes","Yes","?","?","?"
"Courier","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","?","?","?"
"Elm","No","No","No","?","?","?","?","?","?","?","?"
"eM Client","Yes","No","No","Yes","Yes","No","No","No","Yes","No","No"
"EmailTray","Yes","No","No","Yes","Yes","No","No","No","No","No","No"
"Eureka Email","?","?","?","?","?","?","?","?","?","?","?"
"Evolution","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","plug-in","?","plug-in"
"Gnus","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","?","?","?"
"GroupWise","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"i.Scribe / InScribe","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes"
"IBM Notes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"KMail","Yes","Yes","Yes","Yes","Yes","No","Yes","?","?","?","?"
"Libremail","Yes","Yes","Yes","No","Yes","No","No","No","No","?","No"
"Mail (OS X)","Yes","No","No","Yes","Yes","No","Yes","?","Yes","?","Yes"
"Mailbird","Yes","?","?","Yes","Yes","?","Yes","Yes","?","Yes","?"
"Microsoft Entourage","Yes","?","?","Yes","Yes","Yes","No","Yes","Partial","?","?"
"Microsoft Entourage 2008, Web Services Edition","Yes","?","?","Yes","Yes","?","?","Yes","Yes","?","?"
"Microsoft Office Outlook","Yes","No","No","Yes","Yes","No","Yes","?","Yes","Yes","Yes"
"Mozilla Mail & Newsgroups","?","?","?","?","?","?","?","?","?","?","?"
"Mozilla Thunderbird","Yes","No","No","Yes","Yes","Yes","Partial","Partial","extensible","Yes","?"
"Mulberry","Yes","No","No","Yes","Yes","No","Yes","?","?","Yes","Yes"
"Mutt","Yes","No (possible with POP3 browser)","No (possible with POP3 browser)","Yes","Yes","No (slrn looks alike)","Partial (resolve real names through NSS)","?","?","Yes","?"
"Netscape Messenger","Yes","?","?","Yes","?","Yes","?","?","?","?","?"
"Netscape Messenger 9","Yes","?","?","Yes","?","Yes","?","?","?","?","?"
"nmh / MH","Yes","?","?","No","Yes","?","?","?","No","?","No"
"Opera Mail","Yes","No","Yes","Yes","Yes","Yes","No","No","?","Yes","Yes"
"Outlook Express","Yes","No","No","Yes","Yes","Yes","Yes","?","No","?","No"
"Pegasus Mail","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?"
"Pine","Yes","No","No","Yes","Yes","Yes","Yes","No","?","?","?"
"Pocomail","Yes","Yes","Yes","Yes","Yes","No","No","No","?","?","?"
"SeaMonkey Mail & Newsgroups","Yes","No","No","Yes","Yes","Yes","Partial","?","?","Yes","?"
"Spicebird","Yes","No","No","Yes","Yes","Yes","Partial","?","?","?","?"
"SquirrelMail","Yes","No","No","Yes","Yes","No","Yes","Yes","?","?","?"
"Sylpheed","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No"
"The Bat!","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","Yes","Yes"
"Trojitá","No","No","No","Yes","Yes","No","No","No","No","Yes","No"
"Turnpike","Yes","?","?","?","Yes","Yes","?","?","?","?","?"
"Wanderlust","Yes","?","?","Yes","Yes","Yes","?","?","No","Yes","No"
"Windows Live Mail","Yes","No","No","Yes","Yes","Yes","Yes","?","No","Yes","No"
"Windows Mail","Yes","No","No","Yes","Yes","?","?","?","No","Yes","No"
"YAM","Yes","Yes","Yes","No","Yes","No","No","No","?","?","?"
"Zimbra","Yes","No","No","Yes","Yes","No","Yes","Yes","?","?","?"
"Client","POP3 
 fetch all messages","POP3 
 selected by filter","POP3 
 selected by user","IMAP4","SMTP","NNTP","LDAP v2","LDAP v3","EWS","IPv6","MAPI"
