"File system","Hard link","Symbolic link","Block journaling","Metadata-only journaling","Case-sensitive","Case-preserving","File Change Log","Snapshot","XIP","Encryption","COW","Integrated LVM","Data deduplication","Volumes are resizeable"
"Be File System","No","Yes","No","Yes","Yes","Yes","Unknown","No","No","No","No","No","No","Unknown"
"Btrfs","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Planned","Yes","Yes","Yes (via bedup)","Online"
"CBM DOS","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No"
"CP/M file system","No","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"DECtape","No","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"DOS (GEC)","No","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"ext2","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","No","No","No","Online"
"ext3","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","Online (can only be shrunk offline)"
"ext3cow","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","Yes","No","No","Unknown"
"ext4","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","Online (can only be shrunk offline)"
"exFAT","No","No","No","No","No","Yes","No","Unknown","Unknown","No","Unknown","Unknown","Unknown","Unknown"
"FAT12","No","No","No","No","No","Partial","No","No","No","No","No","No","No","Offline"
"FAT16","No","No","No","No","No","Partial","No","No","No","No","No","No","No","Offline"
"FAT32","No","No","No","No","No","Partial","No","No","No","No","No","No","No","Offline"
"FFS","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","Offline (cannot be shrunk)"
"Fossil","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Offline"
"GFS","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Unknown","Unknown","Unknown","Online"
"GPFS","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Online"
"HAMMER","Yes","Yes","Unknown","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","On demand","Unknown"
"HFS","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","Unknown"
"HFS Plus","Yes","Yes","No","Yes","Partial","Yes","Yes","No","No","Yes","No","No","No","Yes"
"HPFS","No","No","No","No","No","Yes","No","Unknown","No","No","Unknown","Unknown","No","Unknown"
"JFS","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","Unknown","Unknown","Online (cannot be shrunk)"
"Lanyard Filesystem","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Offline (cannot be shrunk)"
"Level-D","No","No","No","No","No","No","No","No","No","No","Unknown","Unknown","Unknown","Unknown"
"LFS","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","Unknown","Unknown","Unknown","Unknown"
"Lustre","Yes","Yes","Yes","Yes","Yes","Yes","Yes in 2.0 and later","No","No","No","No","No","No","Online"
"NILFS","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Unknown","Unknown","Online (since Linux-3.x and nilfs-utils 2.1)"
"NSS","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","No","Yes","Unknown","Unknown","Unknown","Unknown"
"NTFS","Yes","Yes","No","Yes","Yes","Yes","Yes","Partial","Yes","Yes","Partial","No","Yes (Windows Server 2012)","Online"
"NWFS","Yes","Yes","No","No","Yes","Yes","Yes","Unknown","No","No","No","Yes","Unknown","Unknown"
"OCFS","No","Yes","No","No","Yes","Yes","No","No","No","No","Unknown","Unknown","Unknown","Unknown"
"OCFS2","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial","No","No","Unknown","No","No","Online for version 1.4 and higher"
"ODS-2","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","Unknown","Unknown","Unknown","Unknown"
"ODS-5","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Unknown","No","Unknown","Unknown","Unknown","Unknown"
"OS4000","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"PramFS","No","Yes","No","No","Yes","Yes","No","No","Yes","No","No","No","No","No"
"QFS","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Unknown","Unknown","Unknown","Unknown"
"ReiserFS","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","Online"
"Reiser4","Yes","Yes","Yes","No","Yes","Yes","No","Unknown","No","Yes","Yes","No","Unknown","Online (can only be shrunk offline)"
