"File system","Hard link","Symbolic link","Block journaling","Metadata-only journaling","Case-sensitive","Case-preserving","File Change Log","Snapshot","XIP","Encryption","COW","Integrated LVM","Data deduplication","Volumes are resizeable"
"Reliance","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","Unknown"
"Reliance Nitro","Yes","Yes","No","No","Depends on OS","Yes","No","No","No","No","Yes","No","No","Unknown"
"RT-11","No","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"UDF","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","Unknown"
"UFS1","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","Unknown"
"UFS2","Yes","Yes","No","No","Yes","Yes","No","Yes","Unknown","No","No","No","No","Offline (cannot be shrunk)"
"V6FS","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Unknown"
"V7FS","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Unknown"
"VxFS","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Unknown","No","Unknown","Unknown","Yes","Unknown"
"VMFS2","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Unknown","Unknown","Unknown","Unknown"
"VMFS3","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Unknown","Unknown","Unknown","Unknown"
"XFS","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Online (cannot be shrunk)"
"ZFS","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Online (cannot be shrunk)"
"File system","Hard links","Symbolic links","Block journaling","Metadata-only journaling","Case-sensitive","Case-preserving","File Change Log","Snapshotting","XIP","Encryption","COW","Integrated LVM","Data deduplication","Volumes are resizeable"
