"Maker","Model","Number","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","Images","Images","Images","Images","Images","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video"
"PocketBook","PocketBook Pro 902","18","No","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Unknown","Yes","No","Yes","Yes","No","Yes","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"PocketBook","PocketBook Pro 903","18","No","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Unknown","Yes","No","Yes","Yes","No","Yes","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Samsung","Papyrus","3","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"Samsung","E6","Unknown","No","Unknown","Unknown","No","No","Yes","Unknown","Yes","No","No","No","No","No","No","Yes","No","No","No","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Sony","Librié","Unknown","Unknown","Unknown","Unknown","No","Unknown","No","Unknown","No","No","No","No","No","No","No","No","No","Unknown","Unknown","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"Sony","Reader Pocket Edition PRS-300","6","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","Yes","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"Sony","Reader PRS-500","9","No","Unknown","Unknown","No","No","No","Unknown","Yes","No","No","No","No","No","No","Yes","No","Yes","No","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Sony","Reader PRS-505","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No","No","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Sony","Reader Touch Edition PRS-600","12","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","No","No","No","No","No","Yes","No","Yes","Unknown","No","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Sony","Reader PRS-700","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Sony","Reader Daily Edition PRS-900","11","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Spring Design","Alex eReader","5","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Stereo International Enterprise Co, Ltd (Taiwan)","ES600","8","No","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"TrekStor","eBook Reader 3.0","8","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","No","Partial (only from FileMgr","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","No","No"
"Velocity Micro","Cruz Reader","14+","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","No","Yes","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Velocity Micro","Cruz Tablet T103","14+","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","No","Yes","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Velocity Micro","Cruz Tablet T301","14+","Yes","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","No","Yes","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Wolder Electronics","Boox-S","14","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","Unknown","Yes","No","Partial (no DRM)","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Maker","Model","Number","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","Images","Images","Images","Images","Images","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
