"Features","10SCAPE","10-Strike","Docusnap","Graphical Networks","Manage Engine","Masshandra","Netbrain Tech","Solarwinds","Whats up gold","Spiceworks","The Dude"
"Map Accuracy","","","","","","","","","","",""
"View network Devices","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"View ports/interfaces","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No"
"View physical connections by port/interface","Yes","Yes","Yes","Yes","No","?","Yes","Yes","Yes","Yes","No"
"View VLANS","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No"
"View virtual server and clusters","Yes","No","Yes","Yes","No","No","Yes","No","No","",""
"Import Data","","","","","","","","","","",""
"Add/update data from manual entry","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","No","Yes"
"Add/update data from spreadsheet / XML","Yes","No","Yes","Yes","No","Yes","Yes","?","No","No","No"
"Add/update from network configuration files","No","No","No","No","No","No","Yes","?","No","?","No"
"Network Scanning & Discovery","","","","","","","","","","",""
"Scan networking devices (switches, routers, etc.)","No","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes"
"Scan network ports / interface details","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","?","No"
"Scan physical connection details (speed, protocol, etc.)","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","No"
"Scan windows & unix servers","No","Yes","Yes","?","Yes","Yes","?","Yes","Yes","Yes","?"
"Scan virtual server hosts & virtual machines","No","No","Yes","Yes","Yes","No","?","Yes","Yes","Yes","No"
"Scan storage devices","No","No","Yes","?","No","No","?","No","No","Yes","No"
"Scan telecommunications devices","No","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No"
"Scan peripherals (desktops, printers, etc.)","No","Yes","Yes","?","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Scheduled scans","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"View Routing & Information Flow","","","","","","","","","","",""
"Open service ports (TCP/UDP)","Yes","Yes","No","No","No","No","No","?","No","No","No"
"Information/Data flow","Yes","No","Yes","No","No","No","No","No","No","No","No"
"VPN","No","No","No","No","No","No","No","No","No","No","No"
"Routes by firewall rules and NAT","No","No","No","No","No","No","Yes","No","No","No","No"
"Routes by protocol (e.g. MPLS VRF, multicasting)","No","No","No","?","No","No","Yes","No","No","No","No"
"Manage change","","","","","","","","","","",""
"View current state","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"View planned additions & removals","Yes","No","No","Yes","No","No","No","No","No","No","No"
"View asset changes & history","No","No","Yes","Yes","Yes","No","Yes","?","Yes","No","No"
"Compare maps, identify changes","No","No","Yes","No","No","No","Yes","No","No","No","No"
"Exports & Output","","","","","","","","","","",""
"Export data to spreadsheet / XML","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No"
"Export to Image / PDF","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Export to document (reports)","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No"
"Export to Visio","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No"
