"Model","Launch","Model Number","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","Fillrate","Fillrate","Memory","Memory","Memory","API compliance (version)","API compliance (version)","Processing Power
GFLOPs","Notes"
"Model","Launch","Model Number","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","DirectX","OpenGL","Processing Power
GFLOPs","Notes"
"Mobility Radeon X2300","March 1, 2007","M64","RV515","90","PCIe x16","128","480","400","2:4:4:4","1.92","1.92","6.4
12.8","DDR
DDR2
GDDR3","64
128","9.0c","2.0","Unknown","renamed product, HyperMemory, no UVD, PowerPlay 6.0"
"Mobility Radeon X2500","June 1, 2007","M66","RV530","90","PCIe x16","256","460","400","5:12:4:4","1.84","1.84","12.8","DDR
DDR2
GDDR3","128","9.0c","2.0","Unknown","based on X1600/1700, HM up to 768Mb, no UVD, PowerPlay 6.0"
"Mobility Radeon HD 2300","March 1, 2007","M71","RV515","90","PCIe x16","128
256
512","480","400","2:4:4:4","1.92","1.92","6.4
12.8","DDR
DDR2
GDDR3","64
128","9.0c","2.0","Unknown","same as X2300, but with UVD, PowerPlay 6.0"
"Mobility Radeon HD 2400","May 14, 2007","M72S","RV610","65","PCIe x16","256+ Hyper Memory","450","400","40:4:4","1.8","1.8","6.4","DDR2","64","10","2.0","36","UVD, PowerPlay 7.0"
"Mobility Radeon HD 2400 XT","May 14, 2007","M72M","RV610","65","PCIe x16","256+ Hyper Memory","600
600","400
700","40:4:4","2.4","2.4","6.4
11.2","DDR2
GDDR3","64","10","2.0","48","UVD, PowerPlay 7.0"
"Mobility Radeon HD 2600","May 14, 2007","M76M","RV630","65","PCIe x16","256+ Hyper Memory","500
500","400
600","120:8:4","2.0","4.0","12.8
19.2","DDR2
GDDR3","128","10","2.0","120","UVD, PowerPlay 7.0"
"Mobility Radeon HD 2600 XT","May 14, 2007","M76XT","RV630","65","PCIe x16","256+ Hyper Memory","680","750","120:8:4","2.72","5.44","24","GDDR3","128","10","2.0","168","UVD, PowerPlay 7.0"
"Mobility Radeon HD 2700","December 12, 2007","M76","RV630","65","PCIe x16","256+ Hyper Memory (total 768)","650","700","120:8:4","2.6","5.2","22.4","GDDR3","128","10","2.0","168","UVD, PowerPlay 7.0"
