"Package","License","Windows","Mac OS","Linux","Market focus","GL","AR/AP","DEB","$£€¥","OB","POS","EC","SOCT","PR","ERP","CRM","BI","HRM","Manf.
/BOM","SCM","IM—","RM","D/WM","MU","Multi
Co","Tax","Other Features","Structure","Language"
"Adempiere","GPL","Yes","Yes","Yes","Mid-market","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","","","?","Web based","Java on JBoss, GlassFish, PostgreSQL"
"Apache OFBiz","Apache License","Yes","Yes","Yes","Small to Mid-Sized Enterprises","Yes","Yes","Yes","Yes","","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","SaaS, Calendar, Webmail","Multi-User, Web Access, Cloud Hostable","Java"
"Compiere","GPL2, other proprietary","Yes","Yes","Yes","Mid-market","","","","","","Yes","","","","Yes","Yes","","","Yes","","","","Yes","","","","MES","Web based","Java EE"
"FrontAccounting","GPL3","Yes","Yes","Yes","Low to Mid-Market","Yes","Yes","Yes","Yes","","Yes","","","","Yes","Yes","","","Yes","Yes","Yes","","","Yes","Yes","","","Web based","PHP"
"GnuCash","GPL","Yes","Yes","Yes","Personal and small enterprise","Yes","Yes","Yes","Yes","Yes","","","Yes","","","","","","","","","","","","","ltd","","Stand alone","C, Scheme"
"GNU Enterprise","GPL","Yes","Yes","Yes","Mid to high end market","","","","Yes","","","Yes","","","Yes","Yes","","Yes","","Yes","","","","","","","","Web based + stand alone","Python"
"HomeBank","GPL","Yes","Yes","Yes","Personal","Yes","","No","","","","","","","","","","","","","","","","","","","?","stand alone","C, GTK+"
"iDempiere","GPL2","Yes","Yes","Yes","Mid-market","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","SaaS, Calendar, Project Management","Web based and Client-server","Java on Tomcat, OSGi, PostgreSQL, Oracle"
"JFire","GPL","Yes","No","Yes","All Markets","","","Yes","","","Yes","","","","Yes","Yes","","","","","","","Yes","","","","","Web based, Stand alone","Java"
"KMyMoney","GPL","Yes","Yes","Yes","Personal","Yes","","Yes","Yes","Yes","","","Yes","","","","","","","","","","","","","","","stand alone","C++"
"LedgerSMB","GPL","Yes","Yes","Yes","Mid-market","Yes","Yes","Yes","Yes","Yes","Yes","","","","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","SaaS, Light Manufacturing, Multi-language (40),","Web based","Perl"
"Openbravo","MPL derivative with badgeware clause","Yes","Yes","Yes","Mid-market","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","","Yes","Yes","Yes","Project Management, Multi-language, Multicurrency, Localized by country","Web based, on-premise, Saas, On Demand","Java"
"Odoo","AGPL","Yes","Yes","Yes","Low to Mid-market","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","SaaS, Calendar, Project Management, Webmail","Web based and Client-server","Python"
"Postbooks","CPAL","Yes","Yes","Yes","Low to mid-market","Yes","Yes","Yes","Yes","","Yes","Yes","","","Yes","Yes","Yes","","Yes","","Yes","","Yes","","","","Professional Services","Client-server","C++, Qt"
"SQL-Ledger","GPL","Yes","Yes","Yes","Mid-market","Yes","Yes","Yes","Yes","","Yes","","","","Yes","","","","Yes","","Yes","","","Yes","Yes","","","Web based","Perl"
"Tryton","GPL","Yes","Yes","Yes","Low to mid-market","Yes","Yes","Yes","Yes","Yes","","Yes","","","Yes","Yes","","","Yes","Yes","Yes","","Yes","Yes","Yes","","","Thin client - Server or Stand alone","Python"
"TurboCASH","GPL","Yes","Yes","No","Low to mid-market","Yes","Yes","Yes","","","Yes","","","","","","","","Yes","","Yes","","","Yes","Yes","","","Stand alone","Delphi"
"webERP","GPL","Yes","Yes","Yes","Low to mid-Market","Yes","Yes","Yes","Yes","","","","","","Yes","","","","","","","","","","","","","Web based","PHP"
