"Version","CPU","RAM","RAM","Free disk space","Video adapter and monitor"
"Version","CPU","Minimum","Recommended","Free disk space","Video adapter and monitor"
"Windows NT 3.51 Workstation","386, 25 MHz","8 MB","?","90 MB","?"
"Windows NT 4.0 Workstation","486, 33 MHz","12 MB","?","110 MB","?"
"Windows 2000 Professional","133 MHz","32 MB","?","650 MB","VGA (640 × 480)"
"Windows XP","233 MHz","64 MB","128 MB","1.5 GB","SVGA (800 × 600)
 For Aero (if applicable):
 128 MB VRAM"
"Windows Fundamentals for Legacy PCs","233 MHz","64 MB","128 MB","500 MB","SVGA (800 × 600)
 For Aero (if applicable):
 128 MB VRAM"
"Windows XP Professional x64","700 MHz Itanium","1 GB","?","6 GB","SVGA (800 × 600)
 For Aero (if applicable):
 128 MB VRAM"
"Windows Server 2003","1 GHz (x86) or 1.4 GHz (x64)","2 GB","10 GB","","SVGA (800 × 600)
 For Aero (if applicable):
 128 MB VRAM"
"Windows Vista","800 MHz","384 MB (Starter)
512 MB (others)","1 GB","15 GB 
(~6.5 GB for OS)","SVGA (800 × 600)
 For Aero (if applicable):
 128 MB VRAM"
"Windows Server 2008","1 GHz (x86) or 1.4 GHz (x64)","384 MB (Starter)
512 MB (others)","2 GB","10 GB","SVGA (800 × 600)
 For Aero (if applicable):
 128 MB VRAM"
"Windows 7","1 GHz","1 GB (x86)
2 GB (x64)","4 GB","16 GB 
(~6.5 GB for OS)",""
"Windows Server 2012","1.4 GHz (x86-64)","512 MB","1 GB","10 GB",""
"Windows 8","1 GHz","1 GB (x86)
2 GB (x64)","4 GB","20 GB 
(~6.5 GB for OS)","1024 x 768 for Windows Store apps
1366 x 768 to snap apps"
