"Server","Security","Security","Security"," ","Dynamic content","Dynamic content","Dynamic content","Dynamic content","Dynamic content","Dynamic content","Dynamic content","Dynamic content","","","",""
"Server","basic
access
authentication","digest
access
authentication","SSL/TLS
https","virtual
hosting","CGI","FCGI","SCGI","WSGI","Java
Servlets","SSI","ISAPI","SSJS","Runs in user space
or kernel space","Administration
console","IPv6","HTTP/2
Yes
No
When"
"AOLserver","Yes","No","Yes","Yes","Yes","No","Unknown","No","No","Yes","Unknown","Unknown","user","Unknown","Unknown","Unknown"
"Apache HTTP Server","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Unknown","user","Yes","Yes","Unknown"
"Apache Tomcat","Yes","Yes","Yes","Yes","Yes","No","Unknown","No","Yes","Yes","No","Unknown","user","Yes","Yes","Unknown"
"Boa","No","No","Yes","Yes","Yes","No","Unknown","No","No","No","No","Unknown","user","Unknown","Yes","Unknown"
"Caucho Resin Server","Yes","Yes","paid version","Yes","Yes","Yes","Unknown","No","Yes","Yes","No","Unknown","user","Yes","Yes","Unknown"
"Caudium","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","Yes","Unknown","Unknown","user","Yes","Yes","Unknown"
"Cherokee HTTP Server","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Unknown","user","Yes","Yes","Unknown"
"HFS","Yes","No","Yes via Stunnel","No","No","No","Unknown","No","No","No","Unknown","Unknown","user","Unknown","No","Unknown"
"Hiawatha HTTP Server","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Unknown","user","Yes","Yes","Unknown"
"IBM HTTP Server","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","No","Yes","No","Unknown","user","Yes","Yes","Unknown"
"Internet Information Services","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","kernel and user","Yes","Yes","Yes"
"Jetty","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","No","Yes","Unknown","Unknown","Yes","user","Unknown","Unknown","Unknown"
"Jexus","No","No","Yes","Yes","No","Yes","No","No","No","No","No","Yes","user","Yes","No","Unknown"
"lighttpd","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Unknown","user","No","Yes","Unknown"
"LiteSpeed Web Server","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","No","Yes","No","Unknown","user","Yes","Yes","Yes"
"Mongoose","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","No","user","Yes","Yes","Unknown"
"Monkey HTTP Server","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","user","No","Yes","Unknown"
"NaviServer","Yes","No","Yes","Yes","Yes","No","Unknown","No","No","No","Unknown","Unknown","user","Yes","Unknown","Unknown"
"NCSA HTTPd","Yes","Yes","Unknown","Partial","Yes","Unknown","Unknown","No","No","Yes","No","Unknown","user","Unknown","Unknown","Unknown"
"nginx","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Unknown","user","Yes","Yes","End of 2015"
"OpenLink 
Virtuoso","Yes","Yes","Yes","Yes","No","No","Unknown","No","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Oracle HTTP Server","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","No","Yes","No","Unknown","user","Yes","Yes","Unknown"
"Oracle iPlanet Web Server","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","Yes","No","Yes","user","Yes","Yes","Unknown"
"Saetta Web Server","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Unknown","user","No","Yes","Unknown"
"thttpd","Yes","Unknown","No","Yes","Yes","No","Unknown","No","No","No","No","Unknown","user","No","Yes","Unknown"
"TUX web server","No","No","No","Yes","Yes","No","Unknown","No","No","No","No","Unknown","kernel","Unknown","Unknown","Unknown"
"Wakanda Server","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","user","Yes","Yes","Unknown"
"Xitami","Yes","Unknown","paid version","Yes","Yes","Unknown","Unknown","No","Unknown","Yes","Unknown","Unknown","user","Unknown","Unknown","Unknown"
"Yaws","Yes","Unknown","Yes","Yes","Yes","Yes","Unknown","No","No","Yes","No","Unknown","user","Unknown","Yes","Unknown"
"Zeus Web Server","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","No","Yes","Yes","Unknown","user","Yes","No","Unknown"
