"Grapheme","Danish","Danish","Danish","Norwegian","Norwegian","Norwegian"
"","In stressed onset","Elsewhere (single)","Elsewhere (double)","In stressed onset","Elsewhere",""
"b","[b̥]","[b̥, ʊ̯]","[b̥]","[b]","[b]",""
"d","[d̥]","[ð̪]","[ð̪]","[d]","[d]",""
"g","[ɡ̊]","[-, ɪ̯, ʊ̯]","[ɡ̊]","[ɡ]","[ɡ]",""
"k","[kʰ]","[ɡ̊]","[ɡ̊]","[kʰ]","[k]",""
"p","[pʰ]","[b̥]","[b̥]","[pʰ]","[p]",""
"r","[ʁ]","[ɐ̯, -]","[r]","[r]","",""
"t","[tˢ]","[d̥]","[d̥]","[tʰ]","[t]",""
"v","[ʋ]","[ʊ̯]","[ʊ̯]","[ʋ]","[ʋ]",""
