"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core config","Clock speed","Clock speed","Clock speed","Fillrate","Fillrate","Memory","Memory","Memory","API support (version)","API support (version)","Processing Power
 (GFLOPS)","TDP (watts)","Notes"
"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core config","Core (MHz)","Shader (MHz)","Memory (MHz)","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","DirectX","OpenGL","Processing Power
 (GFLOPS)","TDP (watts)","Notes"
"GeForce 410M","January 5, 2011","GF119","40","PCIe 2.0 x16","512","48:8:4","575","1150","1600","2.3","4.6","12.8","DDR3","64","11.0","4.5","110.4","12","Similar to Desktop GT420 OEM"
"GeForce GT 415M","September 3, 2010","GF108","40","PCIe 2.0 x16","512","48:8:4","500","1000","1600","2","4","25.6","DDR3","128","11.0","4.5","96","<12(GPU only)","Similar to Desktop GT420 OEM"
"GeForce GT 420M","September 3, 2010","GF108","40","PCIe 2.0 x16","512","96:16:4","500","1000","1600","2","8","25.6","DDR3","128","11.0","4.5","192","10-23(GPU only)","Similar to Desktop GT430"
"GeForce GT 425M","September 3, 2010","GF108","40","PCIe 2.0 x16","1024","96:16:4","560","1120","1600","2.24","8.96","25.6","DDR3","128","11.0","4.5","215.04","20-23(GPU only)","Similar to Desktop GT430"
"GeForce GT 435M","September 3, 2010","GF108","40","PCIe 2.0 x16","2048","96:16:4","650","1300","1600","2.6","10.4","25.6","DDR3","128","11.0","4.5","249.6","32-35(GPU only)","Similar to Desktop GT430/440"
"GeForce GT 445M","September 3, 2010","GF106","40","PCIe 2.0 x16","1024
1536","144:24:16
144:24:24","590","1180","1600
2500","9.44
14.16","14.16","25.6
60","DDR3
GDDR5","128
192","11.0","4.5","339.84","30-35(GPU only)","Similar to Desktop GTS450 OEM)"
"GeForce GTX 460M","September 3, 2010","GF106","40","PCIe 2.0 x16","1536","192:32:24","675","1350","2500","16.2","21.6","60","GDDR5","192","11.0","4.5","518.4","45-50(GPU only)","Similar to Desktop GTX550 Ti"
"GeForce GTX 470M","September 3, 2010","GF104","40","PCIe 2.0 x16","1536","288:48:24","550","1100","2500","13.2","26.4","60","GDDR5","256","11.0","4.5","633.6","45-50(GPU only)","Similar to Desktop GTX 460/560SE"
"GeForce GTX 480M","May 25, 2010","GF100","40","PCIe 2.0 x16","2048","352:44:32","425","850","2400","13.6","18.7","76.8","GDDR5","256","11.0","4.5","598.4","100(MXM module)","Similar to Desktop GTX465"
"GeForce GTX 485M","January 5, 2011","GF104","40","PCIe 2.0 x16","2048","384:64:32","575","1150","3000","18.4","36.8","96.0","GDDR5","256","11.0","4.5","883.2","100(MXM module)","Similar to Desktop GTX560 Ti"
