"Code range (hexadecimal)","UTF-8","UTF-16","UTF-32","UTF-EBCDIC","GB 18030"
"000000 – 00007F","1","2","4","1","1"
"000080 – 00009F","2","2","4","1","2 for characters inherited from
GB 2312/GBK (e.g. most
Chinese characters) 4 for
everything else."
"0000A0 – 0003FF","2","2","4","2","2 for characters inherited from
GB 2312/GBK (e.g. most
Chinese characters) 4 for
everything else."
"000400 – 0007FF","2","2","4","3","2 for characters inherited from
GB 2312/GBK (e.g. most
Chinese characters) 4 for
everything else."
"000800 – 003FFF","3","2","4","3","2 for characters inherited from
GB 2312/GBK (e.g. most
Chinese characters) 4 for
everything else."
"004000 – 00FFFF","3","2","4","4","2 for characters inherited from
GB 2312/GBK (e.g. most
Chinese characters) 4 for
everything else."
"010000 – 03FFFF","4","4","4","4","4"
"040000 – 10FFFF","4","4","4","5","4"
