"Model","Processor","Memory","FSB","Storage","RPM","Graphics","VRAM","Display resolution","MSRP"
"Mac Mini","1.4 GHz dual-core Intel Core i5","4 GB","TBD MHz","500 GB HDD","5400","Intel HD Graphics 5000","288 MB Shared","N/A","$499"
"iMac 21.5 inch","1.4 GHz dual-core Intel Core i5","8 GB","2.5GT/s","500 GB HDD","7200","Intel HD Graphics 5000","512 MB","1920 × 1080","$1099"
"iMac 27 inch","3.2 GHz quad-core Intel Core i5","8 GB","2.5GT/s","1 TB HDD","7200","NVIDIA GeForce GT 755M","1 GB","2560 × 1440","$1799"
"iMac 27 inch with 5K Retina Display","3.3 GHz quad-core Intel Core i5","8 GB","2.5GT/s","1 TB HDD","7200","AMD Radeon M9 290","2 GB","5120 × 2880","$1999"
"Mac Pro Quad-Core","2.8 GHz Quad-core Xeon 3500","3 GB","4.8 GT/s","1 TB HDD","7200","ATI Radeon HD 5770","1 GB","N/A","$2499"
"Mac Pro 8-Core","Two 2.4 GHz Quad-core Xeon 5600","6 GB","5.86 GT/s","1 TB HDD","7200","ATI Radeon HD 5770","1 GB","N/A","$3499"
"Mac Pro 12-Core","Two 2.66 GHz 6-core Xeon 5600","6 GB","6.4 GT/s","1 TB HDD","7200","ATI Radeon HD 5770","1 GB","N/A","$4999"
