"Name","Tail-Call Optimization","Choice Point Elimination","Environment Trimming","Just-in-Time Indexing"
"Ciao","Yes","Yes","Yes","?"
"GNU Prolog","Yes","Yes","Yes","?"
"Jekejeke Prolog","Yes (runtime)","Yes (runtime)","Yes (runtime)","Yes"
"SICStus Prolog","Yes","Yes","Yes","Yes"
"SWI-Prolog","Yes","Yes","Yes","Yes"
"Visual Prolog","Yes (compile time)","Yes (compile time)","N/A","N/A (compile time)"
"XSB","Yes","Yes","Yes","?"
"YAP-Prolog","Yes","Yes","Yes","Yes"
